,stimulus_concentration,IFN gamma,TNF alpha,IL-2,IL-10
795,12500,3441.74172287454,4495.75163845543,142.777646368364,62.0454866707331
814,0,313.655380061567,3699.86714479402,3.73143567860362,11.21306752308118
817,12500,3441.74172287454,5245.05936032878,124.529474126398,46.6851739296142
821,12500,3441.74172287454,4155.23440599055,151.696838410045,45.3716128877515
838,0,164.100837789443,2855.0465592709,3.73143567860362,11.21306752308118
847,12500,3441.74172287454,5245.05936032878,112.779641701698,44.8114728156818
862,0,271.218791246724,3033.5099319448,3.73143567860362,11.5269431961914
868,12500,3441.74172287454,2871.30912048257,153.760048601964,42.5484425010583
886,0,324.60889418921,2518.9488639014,3.73143567860362,11.21306752308118
894,12500,3441.74172287454,3339.60931599065,153.405188773666,43.1651598785664
910,0,232.729757720737,2506.09965511258,3.73143567860362,11.21306752308118
914,12500,3441.74172287454,4377.19395133611,127.67044318079,39.7260355096836
919,12500,3441.74172287454,1909.4059254975,118.994992883714,41.2300244972986
934,0,214.556876302844,1988.37933896931,3.73143567860362,11.21306752308118
939,12500,3441.74172287454,2936.13571171561,131.177947337175,53.8653027043552
958,0,211.84742605454,2357.61288309141,3.73143567860362,11.21306752308118
964,12500,3441.74172287454,1858.16036174401,104.613915467229,40.0412491185345
982,0,247.299552088834,2389.13116921984,3.73143567860362,11.21306752308118
989,12500,3441.74172287454,2239.63301372522,128.530111593909,42.1379144562473
1006,0,210.662615000438,4155.1904237421,3.73143567860362,11.21306752308118
1009,12500,3441.74172287454,3777.36036430235,138.284682225879,41.6965407094779
1014,12500,3441.74172287454,1777.49151037586,124.917658235807,45.0416150553637
1030,0,181.663670168323,2175.34819723059,3.73143567860362,11.21306752308118
1037,12500,3441.74172287454,1891.16825815054,106.617786120992,45.8313633067208
1054,0,757.084216958423,2975.22383092958,3.73143567860362,11.21306752308118
1078,0,242.184244721624,2142.5333903586,3.73143567860362,11.21306752308118
1083,12500,3441.74172287454,4764.71617310592,126.840679934037,37.7737261458325
1087,12500,3441.74172287454,2086.70882969758,105.573128203687,55.4688457768373
1102,0,286.999096131776,2069.75411214519,3.73143567860362,11.21306752308118
1106,12500,3441.74172287454,3429.48980680161,138.579512522208,45.7461359772079
1108,12500,3441.74172287454,4549.22913313255,138.341811106956,46.0670740618171
1126,0,203.37310729156,2388.85527596766,3.73143567860362,11.21306752308118
1198,0,430.507888271367,2840.32728009581,3.73143567860362,11.21306752308118
1222,0,258.523941897899,2972.34706278196,3.73143567860362,11.21306752308118
1246,0,487.941982018616,4519.36242956235,3.73143567860362,11.21306752308118
1270,0,499.269924707581,3504.59913625638,3.98792871902765,11.21306752308118
1294,0,325.366897425184,3177.77364861703,3.73143567860362,11.21306752308118
1318,0,473.641833369192,4997.63811302481,3.73143567860362,11.21306752308118
1342,0,281.219068450577,3532.28430146161,3.73143567860362,11.21306752308118
1366,0,323.38031604958,5245.05936032878,3.73143567860362,11.21306752308118
1390,0,256.721608566768,3072.45367962916,3.73143567860362,11.21306752308118
1414,0,416.535986899025,3603.49710517062,4.94117778599352,11.21306752308118
1438,0,367.548123275224,5245.05936032878,3.73143567860362,11.21306752308118
1462,0,218.12370331264,1951.92267033828,3.73143567860362,11.21306752308118
1486,0,487.861186735997,4202.55452608933,3.73143567860362,12.4170524835266
1510,0,1425.5301744114,3523.15264964741,3.73143567860362,11.21306752308118
1577,0,410.462651453643,2551.76280912874,3.73143567860362,11.21306752308118
1582,0,315.883474948489,3171.90778444088,3.73143567860362,12.648109487854
1599,0,252.818748698318,2144.86311948018,3.73143567860362,11.21306752308118
1603,0,257.533261554557,1903.93983294871,3.73143567860362,11.21306752308118
1606,0,241.724883964564,1970.681589489,4.19298683785678,11.21306752308118
1629,0,221.349170940082,1920.2529159623,3.73143567860362,11.21306752308118
1630,0,365.721870753243,2124.14022985765,3.73143567860362,11.21306752308118
1650,0,210.556721332292,2395.30475187271,3.73143567860362,11.21306752308118
1654,0,462.670484463621,1858.96591402805,3.73143567860362,11.21306752308118
1676,0,275.113616181505,2991.21178718899,3.73143567860362,11.21306752308118
1678,0,293.174179597873,2166.38391132846,3.73143567860362,11.21306752308118
1696,0,201.026470089927,1899.43585940627,3.73143567860362,11.21306752308118
1701,0,361.922407602859,3332.70697478625,3.73143567860362,11.21306752308118
1702,0,303.559833717701,2303.74119077877,3.73143567860362,11.21306752308118
1721,0,298.029261870098,1832.61851997243,3.73143567860362,11.21306752308118
1726,0,358.821151740273,2647.82945829098,3.73143567860362,11.21306752308118
1746,0,191.370806032568,1611.10744703286,3.73143567860362,11.21306752308118
1750,0,357.929118810897,2705.7296693572,3.73143567860362,11.21306752308118
1771,0,227.258847436675,1691.89553333155,3.73143567860362,11.21306752308118
1774,0,184.466823008996,3714.14214643727,3.73143567860362,11.21306752308118
1791,0,311.633101505508,2020.60100844754,3.73143567860362,11.21306752308118
1796,0,518.833934789808,2482.15202657973,3.73143567860362,11.21306752308118
1798,0,287.719259954359,2700.03694940991,3.73143567860362,11.21306752308118
1819,0,439.581595391206,1968.1989795791,3.73143567860362,11.21306752308118
1822,0,524.472609731213,2532.81963867409,3.73143567860362,11.21306752308118
1846,0,275.297948652786,2194.30143925919,3.73143567860362,11.21306752308118
1865,0,300.599909701369,1696.85754658923,3.73143567860362,11.4494751184495
1869,0,476.045661142171,1959.20110200167,3.73143567860362,11.21306752308118
1870,0,283.39786614793,2873.20163746504,3.73143567860362,12.3517356579584
