panel,antigen,antigen_concentration,sensor,value
multiplex,IL-22,225000,IL-22,164.7790777
singleplex,IL-22,225000,IL-22,162.6200046
multiplex,IL-22,147.46,IL-22,23.41233852
singleplex,IL-22,147.46,IL-22,18.54102357
multiplex,IL-22,90000,IL-22,161.6276583
singleplex,IL-22,90000,IL-22,159.1307626
multiplex,IL-22,58.98,IL-22,7.806420827
singleplex,IL-22,58.98,IL-22,5.232822566
multiplex,IL-22,36000,IL-22,150.5553789
singleplex,IL-22,36000,IL-22,150.174627
multiplex,IL-22,23.59,IL-22,0.862743347
singleplex,IL-22,23.59,IL-22,2.156111205
multiplex,IL-22,14400,IL-22,131.0755328
singleplex,IL-22,14400,IL-22,125.2586633
multiplex,IL-22,9.44,IL-22,0.852034872
singleplex,IL-22,9.44,IL-22,1.381141494
multiplex,IL-22,5760,IL-22,109.4116709
singleplex,IL-22,5760,IL-22,107.0615995
multiplex,IL-22,3.78,IL-22,-0.151800625
singleplex,IL-22,3.78,IL-22,-0.665831055
multiplex,IL-22,2304,IL-22,86.71479649
singleplex,IL-22,2304,IL-22,84.94959592
multiplex,IL-22,1.51,IL-22,-1.131302225
singleplex,IL-22,1.51,IL-22,-1.692167579
multiplex,IL-22,921.6,IL-22,65.02840282
singleplex,IL-22,921.6,IL-22,61.79365689
multiplex,IL-22,0.6,IL-22,-1.40281958
singleplex,IL-22,0.6,IL-22,-2.221592622
multiplex,IL-22,368.64,IL-22,44.60788271
singleplex,IL-22,368.64,IL-22,39.60182668
multiplex,IL-22,0.24,IL-22,1.747309839
singleplex,IL-22,0.24,IL-22,2.965001436
multiplex,TPO,225000,TPO,145.8986605
multiplex,TPO,147.46,TPO,-2.088963121
singleplex,TPO,225000,TPO,137.6469644
singleplex,TPO,147.46,TPO,-0.085499398
multiplex,TPO,90000,TPO,121.4478922
multiplex,TPO,58.98,TPO,0.784496637
singleplex,TPO,90000,TPO,107.6731437
singleplex,TPO,58.98,TPO,-0.159076224
multiplex,TPO,36000,TPO,97.9439656
multiplex,TPO,23.59,TPO,-0.388793635
singleplex,TPO,36000,TPO,89.31644449
singleplex,TPO,23.59,TPO,-2.526332961
multiplex,TPO,14400,TPO,79.70179804
multiplex,TPO,9.44,TPO,-2.533276323
singleplex,TPO,14400,TPO,66.83218287
singleplex,TPO,9.44,TPO,2.497349685
multiplex,TPO,5760,TPO,57.29607858
multiplex,TPO,3.78,TPO,-0.037159146
singleplex,TPO,5760,TPO,49.38964422
singleplex,TPO,3.78,TPO,-2.99143929
multiplex,TPO,2304,TPO,26.42660396
multiplex,TPO,1.51,TPO,2.554662594
singleplex,TPO,2304,TPO,22.84864693
singleplex,TPO,1.51,TPO,0.950229167
multiplex,TPO,921.6,TPO,8.829120578
multiplex,TPO,0.6,TPO,-1.057090043
singleplex,TPO,921.6,TPO,6.084489189
singleplex,TPO,0.6,TPO,-1.385975955
multiplex,TPO,368.64,TPO,5.659145251
multiplex,TPO,0.24,TPO,3.363966475
singleplex,TPO,368.64,TPO,1.456842509
singleplex,TPO,0.24,TPO,3.391581862
multiplex,CCL21,225000,CCL21,183.0406264
singleplex,CCL21,225000,CCL21,176.3327683
multiplex,CCL21,147.46,CCL21,1.391122683
singleplex,CCL21,147.46,CCL21,-0.1872072
multiplex,CCL21,90000,CCL21,143.4949815
singleplex,CCL21,90000,CCL21,150.8820953
multiplex,CCL21,58.98,CCL21,-0.887795315
singleplex,CCL21,58.98,CCL21,0.267716392
multiplex,CCL21,36000,CCL21,117.4323392
singleplex,CCL21,36000,CCL21,123.6624252
multiplex,CCL21,23.59,CCL21,-1.779707291
singleplex,CCL21,23.59,CCL21,-1.231410812
multiplex,CCL21,14400,CCL21,107.1457495
singleplex,CCL21,14400,CCL21,102.6714475
multiplex,CCL21,9.44,CCL21,-2.196610277
singleplex,CCL21,9.44,CCL21,4.446652841
multiplex,CCL21,5760,CCL21,78.29711432
singleplex,CCL21,5760,CCL21,71.27413719
multiplex,CCL21,3.78,CCL21,-0.599237224
singleplex,CCL21,3.78,CCL21,-5.495922212
multiplex,CCL21,2304,CCL21,49.05237702
singleplex,CCL21,2304,CCL21,35.14194615
multiplex,CCL21,1.51,CCL21,-0.250056187
singleplex,CCL21,1.51,CCL21,0.586448395
multiplex,CCL21,921.6,CCL21,23.49746304
singleplex,CCL21,921.6,CCL21,18.43772873
multiplex,CCL21,0.6,CCL21,-0.459619369
singleplex,CCL21,0.6,CCL21,-2.093841081
multiplex,CCL21,368.64,CCL21,13.81193853
singleplex,CCL21,368.64,CCL21,10.59183057
multiplex,CCL21,0.24,CCL21,3.706379822
singleplex,CCL21,0.24,CCL21,3.021096247
singleplex,CCL7,225000,CCL7,100.8455223
singleplex,CCL7,147.46,CCL7,48.75130696
multiplex,CCL7,225000,CCL7,95.82557024
multiplex,CCL7,147.46,CCL7,47.38646043
singleplex,CCL7,90000,CCL7,104.8716316
singleplex,CCL7,58.98,CCL7,30.07154807
multiplex,CCL7,90000,CCL7,99.49617837
multiplex,CCL7,58.98,CCL7,31.66826298
singleplex,CCL7,36000,CCL7,106.1982194
singleplex,CCL7,23.59,CCL7,17.44423669
multiplex,CCL7,36000,CCL7,102.5372805
multiplex,CCL7,23.59,CCL7,15.20780412
singleplex,CCL7,14400,CCL7,107.6773101
singleplex,CCL7,9.44,CCL7,6.202634474
multiplex,CCL7,14400,CCL7,104.0623135
multiplex,CCL7,9.44,CCL7,6.390367888
singleplex,CCL7,5760,CCL7,104.5482411
singleplex,CCL7,3.78,CCL7,2.844515665
multiplex,CCL7,5760,CCL7,100.9410968
multiplex,CCL7,3.78,CCL7,2.053805855
singleplex,CCL7,2304,CCL7,91.69724465
singleplex,CCL7,1.51,CCL7,-0.771042156
multiplex,CCL7,2304,CCL7,89.7638582
multiplex,CCL7,1.51,CCL7,1.024945756
singleplex,CCL7,921.6,CCL7,74.97600234
singleplex,CCL7,0.6,CCL7,0.431450887
multiplex,CCL7,921.6,CCL7,73.08365928
multiplex,CCL7,0.6,CCL7,-0.852256465
singleplex,CCL7,368.64,CCL7,66.70565588
singleplex,CCL7,0.24,CCL7,0.328039448
multiplex,CCL7,368.64,CCL7,63.01875822
multiplex,CCL7,0.24,CCL7,-0.19643015
singleplex,CCL22,225000,CCL22,69.0933858
singleplex,CCL22,147.46,CCL22,15.42641642
multiplex,CCL22,225000,CCL22,66.00017467
multiplex,CCL22,147.46,CCL22,20.50731004
singleplex,CCL22,90000,CCL22,60.3882612
singleplex,CCL22,58.98,CCL22,14.43423272
multiplex,CCL22,90000,CCL22,71.17219362
multiplex,CCL22,58.98,CCL22,11.95391056
singleplex,CCL22,36000,CCL22,56.87880337
singleplex,CCL22,23.59,CCL22,1.869797822
multiplex,CCL22,36000,CCL22,63.84158828
multiplex,CCL22,23.59,CCL22,5.037508547
singleplex,CCL22,14400,CCL22,61.89059343
singleplex,CCL22,9.44,CCL22,1.117451083
multiplex,CCL22,14400,CCL22,55.93478255
multiplex,CCL22,9.44,CCL22,1.818219132
singleplex,CCL22,5760,CCL22,48.03377539
singleplex,CCL22,3.78,CCL22,0.049587823
multiplex,CCL22,5760,CCL22,53.49639982
multiplex,CCL22,3.78,CCL22,2.206890956
singleplex,CCL22,2304,CCL22,41.09525864
singleplex,CCL22,1.51,CCL22,-4.8049636
multiplex,CCL22,2304,CCL22,47.7980077
multiplex,CCL22,1.51,CCL22,-2.607723631
