,sample_name,dilution_buffer,antigen,antigen_concentration,sample_type,plate_id,well_id,sensor,nelisa (snr),nelisa (pgml),sample_id,xmap (fi),xmap (pgml)
0,CCL21_1,MMP1,CCL21,225000.0,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A01,CCL11,0.872561705,,R1,22,3.83
1,CCL21_1,MMP1,CCL21,225000.0,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A01,CCL11,,,R1,22,3.83
2,,,,,PBMC,Plate_7_PBMC,A01,CCL11,0.053397543,,R1,22,3.83
3,CCL21_9 ,MMP1,CCL21,147.46,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A03,CCL11,0.892439076,,R9,18,2.73
4,CCL21_9,MMP1,CCL21,147.46,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A03,CCL11,,,R9,18,2.73
5,,,,,PBMC,Plate_7_PBMC,A03,CCL11,0.491962235,,R9,18,2.73
6,CCL21_1,RPMI,CCL21,225000.0,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A05,CCL11,0.01109664,,R17,21,3.56
7,CCL21_1,RPMI,CCL21,225000.0,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A05,CCL11,,,R17,21,3.56
8,,,,,PBMC,Plate_7_PBMC,A05,CCL11,1.569611992,,R17,21,3.56
9,CCL21_9,RPMI,CCL21,147.46,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A07,CCL11,0.888335453,,R25,18,2.58
10,CCL21_9,RPMI,CCL21,147.46,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A07,CCL11,,,R25,18,2.58
11,,,,,PBMC,Plate_7_PBMC,A07,CCL11,-1.062077597,,R25,18,2.58
12,CCL22_1,MMP1,CCL22,225000.0,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A09,CCL11,0.238217938,,R33,15,1.79
13,CCL7_1,MMP1,CCL7,225000.0,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A09,CCL11,,,R33,15,1.79
14,,,,,PBMC,Plate_7_PBMC,A09,CCL11,-2.746002654,,R33,15,1.79
15,CCL22_9,MMP1,CCL22,147.46,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A11,CCL11,0.296594623,,R41,19,3.02
16,CCL7_9,MMP1,CCL7,147.46,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A11,CCL11,,,R41,19,3.02
17,,,,,PBMC,Plate_7_PBMC,A11,CCL11,-1.076441084,,R41,19,3.02
18,CCL22_1,RPMI,CCL22,225000.0,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A13,CCL11,1.031048496,,R49,15,1.79
19,CCL7_1,RPMI,CCL7,225000.0,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A13,CCL11,,,R49,15,1.79
20,,,,,PBMC,Plate_7_PBMC,A13,CCL11,-0.534983807,,R49,15,1.79
21,CCL22_9,RPMI,CCL22,147.46,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A15,CCL11,-0.184378158,,R57,16,2.12
22,CCL7_9,RPMI,CCL7,147.46,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A15,CCL11,,,R57,16,2.12
23,,,,,PBMC,Plate_7_PBMC,A15,CCL11,-1.664294099,,R57,16,2.12
24,CCL7_1,MMP1,CCL7,225000.0,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A17,CCL11,1.42804974,,R65,19,2.87
25,CX3CL1_1,MMP3,CX3CL1,225000.0,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A17,CCL11,,,R65,19,2.87
26,,,,,PBMC,Plate_7_PBMC,A17,CCL11,-2.031196894,,R65,19,2.87
27,CCL7_9,MMP1,CCL7,147.46,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A19,CCL11,0.713753912,,R73,9,
28,CX3CL1_9,MMP3,CX3CL1,147.46,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A19,CCL11,,,R73,9,
29,,,,,PBMC,Plate_7_PBMC,A19,CCL11,-0.330836661,,R73,9,
30,CCL7_1,RPMI,CCL7,225000.0,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A21,CCL11,1.099584906,,R81,22845,
31,CX3CL1_1,RPMI,CX3CL1,225000.0,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A21,CCL11,,,R81,22845,
32,MMP3_1,RPMI,MMP3,56250.0,MMP3 serial dilution,Plate_7_PBMC,A21,CCL11,103.9940935,8104.41287373422,R81,22845,
33,CCL7_9,RPMI,CCL7,147.46,Ag serial dilution,Plate1_MMP1_Plate4_MM3,A23,CCL11,0.167071086,,R89,285,42.09
34,CX3CL1_9,RPMI,CX3CL1,147.46,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,A23,CCL11,,,R89,285,42.09
35,MMP3_9,RPMI,MMP3,36.864,MMP3 serial dilution,Plate_7_PBMC,A23,CCL11,28.55697271,36.4406760706564,R89,285,42.09
36,CCL21_2,MMP1,CCL21,90000.0,Ag serial dilution,Plate1_MMP1_Plate4_MM3,C01,CCL11,0.014370096,,R2,15,1.79
37,CCL21_2,MMP1,CCL21,90000.0,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,C01,CCL11,,,R2,15,1.79
38,,,,,PBMC,Plate_7_PBMC,C01,CCL11,0.139506328,,R2,15,1.79
39,CCL21_10,MMP1,CCL21,58.98,Ag serial dilution,Plate1_MMP1_Plate4_MM3,C03,CCL11,-0.184118834,,R10,20,3.29
40,CCL21_10,MMP1,CCL21,58.98,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,C03,CCL11,,,R10,20,3.29
41,,,,,PBMC,Plate_7_PBMC,C03,CCL11,-1.412134428,,R10,20,3.29
42,CCL21_2,RPMI,CCL21,90000.0,Ag serial dilution,Plate1_MMP1_Plate4_MM3,C05,CCL11,-0.467272651,,R18,16,1.96
43,CCL21_2,RPMI,CCL21,90000.0,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,C05,CCL11,,,R18,16,1.96
44,,,,,PBMC,Plate_7_PBMC,C05,CCL11,-1.914766388,,R18,16,1.96
45,CCL21_10,RPMI,CCL21,58.98,Ag serial dilution,Plate1_MMP1_Plate4_MM3,C07,CCL11,1.69427488,,R26,20,3.16
46,CCL21_10,RPMI,CCL21,58.98,Ag serial dilution,Plate2_MMP1_Plate5_MMP3,C07,CCL11,,,R26,20,3.16
47,,,,,PBMC,Plate_7_PBMC,C07,CCL11,-1.126653913,,R26,20,3.16
