"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","SCARA5","-3.328","-17.464","False"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","EPYC","6.236","15.186","False"
"Pbmc","","","GSE78276","RNASeq","","CTSL","2.860","15.161","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","HAPLN1","4.542","14.810","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","TFAP2A","4.534","14.786","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","HPGD","4.516","14.727","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","DLX5","4.251","13.861","True"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","NPTX1","-4.929","-13.815","False"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","SCIN","5.386","13.116","False"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","LEFTY2","4.606","12.909","False"
"Ipsc3.6","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","CER1","6.550","12.743","True"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","PLPP4","2.429","12.743","False"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","EOMES","4.388","12.718","False"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","ACAN","5.181","12.617","False"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","GATA3","3.869","12.615","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","MFAP4","5.525","12.505","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","KLHL4","-3.788","-12.352","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","CER1","7.368","12.319","True"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","PROC","2.327","12.211","False"
"Ipsc3.6","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","HAS2","6.132","11.929","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","FGF17","5.263","11.912","True"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","CNMD","4.840","11.786","False"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","LEFTY1","4.189","11.741","False"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","PLP1","2.220","11.649","False"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","LUM","6.180","11.584","True"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","SERTM1","-2.200","-11.546","False"
