"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Bl2","","","GSE99768","RNASeq","","GPER1","-1.303","-13.502","False"
"Bl2","","","GSE99768","RNASeq","","PFKFB4","-1.062","-11.013","False"
"Bl2","","","GSE99768","RNASeq","","GNG8","0.971","10.064","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","GPER1","-0.958","-9.580","False"
"Bl2","","","GSE99768","RNASeq","","SGK1","0.794","8.227","False"
"Bl2","","","GSE99768","RNASeq","","IGFBP4","0.728","7.544","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","SGK1","0.751","7.506","False"
"Bl2","","","GSE99768","RNASeq","","CCR7","0.715","7.414","False"
"Bl2","","","GSE99768","RNASeq","","HLA-DQB2","0.695","7.208","False"
"Bl2","","","GSE99768","RNASeq","","ICAM1","0.675","6.998","False"
"Bl2","","","GSE99768","RNASeq","","CIITA","0.652","6.763","False"
"Bl2","","","GSE99768","RNASeq","","LHB","0.646","6.700","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","SNORA23","-0.659","-6.594","False"
"Bl2","","","GSE99768","RNASeq","","SNORA68","0.632","6.554","False"
"Bl2","","","GSE99768","RNASeq","","SNORD89","0.617","6.399","False"
"Bl2","","","GSE99768","RNASeq","","HLA-DQA1","0.592","6.132","False"
"Bl2","","","GSE99768","RNASeq","","MT1G","0.564","5.852","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","MLX","0.581","5.815","False"
"Bl2","","","GSE99768","RNASeq","","LRRC32","-0.556","-5.768","False"
"Bl2","","","GSE99768","RNASeq","","MAP3K14","0.552","5.726","False"
"Bl2","","","GSE99768","RNASeq","","HLA-DRB5","0.546","5.658","False"
"Bl2","","","GSE99768","RNASeq","","NFKB2","0.540","5.594","False"
"Bl2","","","GSE99768","RNASeq","","TBC1D19","0.538","5.579","False"
"Bl2","","","GSE99768","RNASeq","","CPLX1","-0.531","-5.505","False"
"Bl2","","","GSE99768","RNASeq","","SNORA23","0.531","5.499","False"
"Bl2","","","GSE99768","RNASeq","","BTF3P11","0.516","5.349","False"
"Bl2","","","GSE99768","RNASeq","","ALDOC","-0.515","-5.339","False"
"Bl2","","","GSE99768","RNASeq","","PPFIA4","-0.511","-5.294","False"
"Bl2","","","GSE99768","RNASeq","","CCDC28B","0.509","5.279","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","H2AC15","-0.527","-5.266","False"
"Bl2","","","GSE99768","RNASeq","","SCARNA9","0.506","5.244","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","GASK1B","-0.523","-5.232","False"
"Bl2","","","GSE99768","RNASeq","","HLA-DPB2","0.502","5.199","False"
"Bl2","","","GSE99768","RNASeq","","DNTT","0.485","5.032","False"
"Bl2","","","GSE99768","RNASeq","","HLA-DPB1","0.484","5.015","False"
"Bl2","","","GSE99768","RNASeq","","SNORA65","0.480","4.977","False"
"Bl2","","","GSE99768","RNASeq","","OPRL1","-0.480","-4.974","False"
"Bl2","","","GSE99768","RNASeq","","HLA-DPA1","0.480","4.971","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","P4HA1","-0.494","-4.940","False"
"Bl2","","","GSE99768","RNASeq","","VPREB3","-0.473","-4.901","False"
"Bl2","","","GSE99768","RNASeq","","HLA-DRB1","0.470","4.877","False"
"Bl2","","","GSE99768","RNASeq","","TOMM20L","-0.469","-4.867","False"
"Bl2","","","GSE99768","RNASeq","","NRN1","-0.466","-4.831","False"
"Bl2","","","GSE99768","RNASeq","","UCN","-0.466","-4.831","False"
"Bl2","","","GSE99768","RNASeq","","HLA-DQB1","0.466","4.828","False"
"Bl2","","","GSE99768","RNASeq","","TAS2R14","-0.461","-4.782","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","PFKFB4","-0.476","-4.761","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","ALDOC","-0.475","-4.752","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","HSPB8","0.473","4.734","False"
"Bl2","","","GSE99768","RNASeq","","FAM43A","0.455","4.712","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","AP2M1","-0.470","-4.704","False"
"Bl2","","","GSE99768","RNASeq","","RND1","0.451","4.677","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","ICAM1","0.466","4.665","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","CCR7","0.466","4.665","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","PP12613","0.466","4.660","False"
"Bl2","","","GSE99768","RNASeq","","DDIT3","0.445","4.618","False"
"Bl2","","","GSE99768","RNASeq","","PFKFB3","-0.444","-4.601","False"
"Bl2","","","GSE99768","RNASeq","","MT2A","0.442","4.580","False"
"Bl2","","","GSE99768","RNASeq","","PLAC8L1","0.442","4.578","False"
"Bl2","","","GSE99768","RNASeq","","HNRNPA3P1","0.437","4.525","False"
"Bl2","","","GSE99768","RNASeq","","BNIP3","-0.434","-4.502","False"
"Bl2","","","GSE99768","RNASeq","","PMS2P5","-0.433","-4.484","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","CYP3A4","-0.445","-4.454","False"
"Bl2","","","GSE99768","RNASeq","","RCOR2","-0.429","-4.450","False"
"Bl2","","","GSE99768","RNASeq","","ARIH2OS","0.428","4.439","False"
"Bl2","","","GSE99768","RNASeq","","P4HA1","-0.427","-4.430","False"
"Bl2","","","GSE99768","RNASeq","","TSPAN11","-0.427","-4.424","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","BHLHE40","-0.441","-4.407","False"
"Bl2","","","GSE99768","RNASeq","","TNFRSF18","-0.424","-4.393","False"
"Bl2","","","GSE99768","RNASeq","","MTHFS","0.424","4.392","False"
"Bl2","","","GSE99768","RNASeq","","UMODL1","-0.422","-4.370","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","PCDHB3","-0.436","-4.357","False"
"Bl2","","","GSE99768","RNASeq","","FXYD7","-0.417","-4.327","False"
"Bl2","24h","","GSE100111","MicroArray","HuGene-1_0-st-v1","TCP11L2","-0.431","-4.309","False"
