"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","MUC6","-4.223","-8.435","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","MUC6","-4.248","-8.283","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF749","-4.146","-8.282","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF749","-4.138","-8.069","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PPP1R14A","3.712","7.238","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","MALL","3.658","7.133","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","HSPA6","-3.564","-7.119","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","LMAN2L","-3.443","-6.714","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","HSPA6","-3.439","-6.706","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","CARD6","-3.438","-6.703","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","MYC","3.312","6.617","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","LMAN2L","-3.287","-6.566","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","MALL","3.237","6.466","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","LINC00624","3.294","6.422","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CXCL16","3.155","6.303","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF329","-3.138","-6.269","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","MTFMT","-3.135","-6.263","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","MTFMT","-3.190","-6.219","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF329","-3.180","-6.201","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","PPP1R14A","3.102","6.197","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PRRT3","-3.127","-6.097","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","LINC00624","3.030","6.053","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","PRORSD1P","3.015","6.022","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PAQR4","3.080","6.005","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","MYC","3.068","5.983","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CARD6","-2.990","-5.974","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CTSB","-2.968","-5.929","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PRORSD1P","3.021","5.891","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","RRN3P3","3.017","5.883","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","FKBP1B","-2.993","-5.837","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","FKBP11","2.881","5.755","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","RRN3P3","2.879","5.751","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF836","2.932","5.718","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","FAM124B","-2.858","-5.709","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","PRDM4","-2.854","-5.702","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","FKBP1B","-2.826","-5.645","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","LOC728392","-2.826","-5.645","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF836","2.791","5.576","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","FAM124B","-2.849","-5.555","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF775","-2.761","-5.515","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","TRG-AS1","-2.815","-5.489","False"
