"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","CCL20","4.193","30.342","True"
"Hck","2h","","GSE54181","MicroArray","GPL10558","CXCL8","3.973","28.170","True"
"Hvk18","2h","","GSE54181","MicroArray","GPL10558","CXCL8","3.620","25.709","True"
"Hvk18","24h","","GSE54181","MicroArray","GPL10558","UBD","4.759","25.684","True"
"Hfk16","2h","","GSE54181","MicroArray","GPL10558","CCL20","3.479","25.382","True"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","CCL5","4.436","24.968","True"
"Hvk18","2h","","GSE54181","MicroArray","GPL10558","CCL20","3.475","24.684","True"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","UBD","4.375","24.621","True"
"Hck","2h","","GSE54181","MicroArray","GPL10558","CCL20","3.401","24.119","True"
"Hvk18","2h","","GSE54181","MicroArray","GPL10558","TNF","3.389","24.071","True"
"Hck18","24h","","GSE54181","MicroArray","GPL10558","UBD","3.391","23.990","True"
"Hfk1","2h","","GSE54181","MicroArray","GPL10558","CXCL8","3.303","23.675","True"
"Hvk","2h","","GSE54181","MicroArray","GPL10558","CXCL8","4.322","23.302","True"
"Hck18","2h","","GSE54181","MicroArray","GPL10558","CXCL8","3.217","23.003","True"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","CXCL8","3.147","22.771","True"
"Hvk","2h","","GSE54181","MicroArray","GPL10558","CCL20","4.177","22.518","True"
"Hck","2h","","GSE54181","MicroArray","GPL10558","TNFAIP3","3.173","22.496","True"
"Hfk1","24h","","GSE54181","MicroArray","GPL10558","MMP9","3.691","22.360","True"
"Hck","2h","","GSE54181","MicroArray","GPL10558","TNF","3.102","21.999","True"
"Hfk2","24h","","GSE54181","MicroArray","GPL10558","UBD","4.774","21.785","True"
"Hck18","2h","","GSE54181","MicroArray","GPL10558","CCL20","3.016","21.560","True"
"Hfk16","2h","","GSE54181","MicroArray","GPL10558","CXCL10","2.929","21.366","True"
"Hfk1","2h","","GSE54181","MicroArray","GPL10558","IL36G","2.975","21.327","True"
"Hck18","2h","","GSE54181","MicroArray","GPL10558","TNFAIP3","2.958","21.150","True"
"Hfk1","2h","","GSE54181","MicroArray","GPL10558","TNFAIP3","2.942","21.087","True"
"Hfk16","24h","","GSE54181","MicroArray","GPL10558","UBD","4.409","20.953","True"
"Hvk18","2h","","GSE54181","MicroArray","GPL10558","CXCL1","2.948","20.937","True"
"Hck18","2h","","GSE54181","MicroArray","GPL10558","TNF","2.896","20.708","True"
"Hck","24h","","GSE54181","MicroArray","GPL10558","CCL5","3.453","20.502","True"
"Hvk18","24h","","GSE54181","MicroArray","GPL10558","CCL5","3.797","20.492","True"
"Hfk1","2h","","GSE54181","MicroArray","GPL10558","CCL20","2.849","20.421","True"
"Immature Dendritic","1h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","IL1B","4.396","20.370","True"
"Hvk16","2h","","GSE54181","MicroArray","GPL10558","CXCL8","3.262","20.056","True"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","TNF","2.733","19.776","True"
"Hvk18","2h","","GSE54181","MicroArray","GPL10558","IL36G","2.775","19.712","True"
"Hfk1","2h","","GSE54181","MicroArray","GPL10558","UBD","2.706","19.397","True"
"Hfk16","2h","","GSE54181","MicroArray","GPL10558","CXCL8","2.592","18.912","True"
"Immature Dendritic","1h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","CCL20","4.006","18.561","True"
"Immature Dendritic","1h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","IL12B","3.997","18.522","True"
"Hvk","2h","","GSE54181","MicroArray","GPL10558","TNFAIP3","3.411","18.389","True"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","IL36G","2.520","18.233","True"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","CXCL1","2.515","18.200","True"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","IL6","2.512","18.179","True"
"Hck","24h","","GSE54181","MicroArray","GPL10558","UBD","3.057","18.154","True"
"Hck","2h","","GSE54181","MicroArray","GPL10558","CXCL1","2.557","18.131","True"
