"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","ZNF37BP","-3.613","-6.147","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","MMRN1","-3.423","-5.823","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","APBA2","-3.417","-5.812","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","NR3C2","-3.331","-5.666","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","SLC30A4","-3.329","-5.664","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","CLGN","3.251","5.531","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","GSTT2","3.185","5.418","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","LCE2B","-3.127","-5.320","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","CPVL","3.093","5.261","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","GHRH","-2.892","-4.920","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","KIF26B","-2.873","-4.887","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","CDC42BPB","2.849","4.847","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","CCR8","-2.791","-4.747","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","EMILIN1","2.738","4.658","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","PID1","-2.722","-4.631","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","ABI3BP","-2.720","-4.628","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","CHML","-2.715","-4.619","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","FGF16","-2.702","-4.596","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","CNN3","-2.697","-4.589","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","UNC93B1","2.667","4.537","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","TDGF1","-2.657","-4.520","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","CHIA","-2.655","-4.517","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","NLGN4X","-2.655","-4.516","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","LCN2","-2.634","-4.481","False"
