"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"B","30m","","GSE120368","MicroArray","GPL10558","EGR1","4.372","48.475","True"
"B","30m","","GSE120368","MicroArray","GPL10558","FOS","3.365","37.314","True"
"B","30m","","GSE120368","MicroArray","GPL10558","EGR2","2.308","25.587","True"
"B","30m","","GSE120368","MicroArray","GPL10558","CD69","2.006","22.245","True"
"B","30m","","GSE120368","MicroArray","GPL10558","DUSP2","1.819","20.167","True"
"B","30m","","GSE120368","MicroArray","GPL10558","TNF","1.657","18.379","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","CGA","11.465","17.946","True"
"B","30m","","GSE120368","MicroArray","GPL10558","CCL3","1.615","17.902","True"
"B","120m","","GSE120368","MicroArray","GPL10558","HMOX1","1.967","17.658","False"
"B","30m","","GSE120368","MicroArray","GPL10558","FOSB","1.588","17.604","True"
"Cord Blood","","","GSE20891","MicroArray","HG-U133_Plus_2","ST6GALNAC3","2.255","15.272","False"
"B","360m","","GSE120368","MicroArray","GPL10558","ABCB6","1.251","13.708","False"
"Sw480 Colon Cancer","12h","","GSE40017","MicroArray","GPL6883","HEYL","-3.524","-13.357","True"
"B","30m","","GSE120368","MicroArray","GPL10558","KLF6","1.121","12.426","True"
"B","360m","","GSE120368","MicroArray","GPL10558","HMOX1","1.066","11.681","False"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","CYP19A1","7.425","11.622","True"
"B","120m","","GSE120368","MicroArray","GPL10558","ICOSLG","1.260","11.310","False"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","PSG2","7.172","11.225","True"
"B","120m","","GSE120368","MicroArray","GPL10558","DUSP2","1.249","11.212","False"
"B","30m","","GSE120368","MicroArray","GPL10558","PPP1R15A","1.006","11.158","True"
"B","120m","","GSE120368","MicroArray","GPL10558","BCAR3","1.232","11.058","False"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","HSD3B1","7.006","10.966","True"
"Sw480 Colon Cancer","3h","","GSE40017","MicroArray","GPL6883","LAMP3","3.086","10.931","True"
"B","120m","","GSE120368","MicroArray","GPL10558","JUN","-1.199","-10.763","False"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","CYP11A1","6.776","10.607","True"
"B","30m","","GSE120368","MicroArray","GPL10558","RGS1","0.952","10.553","True"
"Sw480 Colon Cancer","3h","","GSE40017","MicroArray","GPL6883","LCN2","2.957","10.474","True"
"B","30m","","GSE120368","MicroArray","GPL10558","DUSP5","0.938","10.398","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","EPAS1","6.623","10.367","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","CDKN1C","6.559","10.267","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","BCAR4","6.501","10.176","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","CLIC3","6.468","10.125","True"
"Cord Blood","","","GSE20891","MicroArray","HG-U133_Plus_2","EPS8","1.466","9.931","False"
"B","120m","","GSE120368","MicroArray","GPL10558","NAB2","1.084","9.730","False"
"B","120m","","GSE120368","MicroArray","GPL10558","GADD45B","1.079","9.688","False"
"Cord Blood","","","GSE20891","MicroArray","HG-U133_Plus_2","DUSP6","1.426","9.657","False"
"Sw480 Colon Cancer","3h","","GSE40017","MicroArray","GPL6883","CDH1","2.720","9.632","True"
"Hela","48h","200ng/mL","GSE93568","MicroArray","GPL13252","TMIGD2","3.189","9.603","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","OPN3","6.104","9.554","True"
"Sw480 Colon Cancer","12h","","GSE40017","MicroArray","GPL6883","TNFSF10","-2.509","-9.510","True"
"Mda-Mb231","6h","75nM","GSE7307","MicroArray","HG-U133_Plus_2","DSCAM-AS1","7.643","9.480","False"
"B","30m","","GSE120368","MicroArray","GPL10558","NFKBIA","0.842","9.342","True"
"B","30m","","GSE120368","MicroArray","GPL10558","RGS2","0.837","9.287","True"
"B","360m","","GSE120368","MicroArray","GPL10558","SQSTM1","0.837","9.172","False"
"Mda-Mb231","6h","75nM","GSE7307","MicroArray","HG-U133_Plus_2","IGFBP7","-7.381","-9.156","False"
"T","","","GSE12449","MicroArray","GPL1708","HOXA7","-1.878","-9.143","False"
"T","","","GSE12449","MicroArray","GPL1708","HHAT","-1.865","-9.081","False"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","VGLL1","5.784","9.054","True"
"B","120m","","GSE120368","MicroArray","GPL10558","SLC7A5","1.000","8.979","False"
"Sw480 Colon Cancer","3h","","GSE40017","MicroArray","GPL6883","TACSTD2","2.535","8.979","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","SDC1","5.732","8.973","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","TNFRSF1B","5.661","8.861","True"
"Hela","48h","200ng/mL","GSE93568","MicroArray","GPL13252","APOD","2.941","8.858","True"
"Mda-Mb231","6h","10nM","GSE7307","MicroArray","HG-U133_Plus_2","MMP1","1.137","8.838","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","PGF","5.624","8.802","True"
"Sw480 Colon Cancer","12h","","GSE40017","MicroArray","GPL6883","LCN2","2.317","8.783","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","HSPB8","5.607","8.777","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","PSG4","5.574","8.724","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","XAGE2","5.563","8.708","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","SERPINE1","5.535","8.663","True"
"B","360m","","GSE120368","MicroArray","GPL10558","JUN","-0.782","-8.563","False"
"Sw480 Colon Cancer","12h","","GSE40017","MicroArray","GPL6883","PFKFB4","2.255","8.546","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","MUC15","5.459","8.545","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","SLC40A1","5.452","8.534","True"
"Cord Blood","","","GSE20891","MicroArray","HG-U133_Plus_2","HMCN1","1.259","8.524","False"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","ENDOU","5.445","8.523","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","ANXA1","5.438","8.513","True"
"Mda-Mb231","6h","75nM","GSE7307","MicroArray","HG-U133_Plus_2","SERPINA6","6.771","8.398","False"
"Sw480 Colon Cancer","3h","","GSE40017","MicroArray","GPL6883","NIBAN1","2.363","8.368","True"
"Hela","48h","200ng/mL","GSE93568","MicroArray","GPL13252","IL32","2.778","8.367","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","PHOSPHO1","5.344","8.365","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","SLC38A3","5.340","8.358","True"
"B","360m","","GSE120368","MicroArray","GPL10558","PLAAT4","-0.762","-8.350","False"
"Cord Blood","","","GSE20891","MicroArray","HG-U133_Plus_2","EGR3","1.230","8.328","False"
"Hela","48h","200ng/mL","GSE93568","MicroArray","GPL13252","PLXDC2","2.743","8.263","True"
"Cd38-Positive Pgc-Like","48h","","GSE102943","RNASeq","","CEBPA","5.276","8.258","True"
