"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","EDNRB","1.860","15.180","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","OLFM4","1.501","14.373","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CCL2","1.277","14.244","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLFM4","1.965","13.194","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RETN","1.952","13.108","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","OLFM4","7.578","13.055","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MMP8","7.435","12.810","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CCL2","1.227","12.634","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MMP8","1.858","12.474","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","DEFA4","-1.507","-12.298","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","VCAN","1.294","12.290","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RARRES1","1.500","12.241","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","EDNRB","1.470","12.203","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","CD177","7.062","12.166","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","EDNRB","1.261","11.975","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RARRES1","1.256","11.935","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","EDNRB","1.764","11.844","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CCL18","1.416","11.752","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CCL2","0.888","11.670","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","AQP9","1.404","11.655","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CCL18","1.422","11.600","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLFM4","1.189","11.291","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","F13A1","1.355","11.244","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","VCAN","1.349","11.193","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","F13A1","1.172","11.138","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CRISP3","-1.639","-11.008","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","AQP9","1.149","10.914","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","OLFM4","0.965","10.763","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ANXA3","1.042","10.722","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","FCGR1B","1.295","10.563","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","VCAN","1.568","10.529","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","AQP9","1.268","10.343","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","PDPN","1.078","10.237","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CCL7","0.910","10.148","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LEP","1.064","10.103","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","LTF","5.847","10.073","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","DEFA4","5.839","10.058","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLFM4","1.207","10.013","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","AQP9","1.490","10.004","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CRISP3","-1.219","-9.943","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","EDNRB","1.036","9.922","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","CEACAM8","5.717","9.849","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","DEFA4","-1.437","-9.652","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","SLC16A10","0.860","9.592","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CTSL","0.857","9.557","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CTSL","0.991","9.417","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","PDPN","1.129","9.372","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CEACAM8","-0.984","-9.350","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","MMP8","0.966","9.253","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CD163","0.818","9.124","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","FCGR1B","0.959","9.109","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","F13A1","1.101","8.980","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLFML2B","1.099","8.967","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RETN","0.934","8.874","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","S100A12","1.314","8.825","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","LCN2","5.119","8.819","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","GPR84","5.084","8.759","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ADGRE2","1.066","8.699","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CAMP","-1.056","-8.614","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CTSL","1.036","8.595","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","RETN","4.985","8.587","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLFML2B","1.033","8.577","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LEP","1.048","8.554","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","VCAN","1.041","8.492","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RARRES1","1.259","8.452","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RARRES1","1.015","8.427","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","S100A9","1.032","8.423","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","KCNJ15","1.247","8.376","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","GPR137B","1.023","8.344","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","PDPN","1.020","8.318","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CCL2","0.866","8.290","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CTSL","1.015","8.278","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","HS3ST2","0.870","8.265","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","CEACAM6","4.753","8.189","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","HP","4.739","8.164","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CEMIP","0.729","8.129","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ELANE","4.662","8.032","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ENPP2","0.981","8.002","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CHI3L1","0.606","7.957","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","NAMPT","1.183","7.943","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CD177","1.182","7.938","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","FCGR1B","0.956","7.931","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ZDHHC19","4.597","7.920","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CRISP3","-0.950","-7.885","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLFML2B","0.828","7.865","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ANXA3","0.821","7.864","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","KCNJ15","0.826","7.850","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MPO","4.539","7.820","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CCL18","1.152","7.737","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","SLC16A10","1.152","7.736","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLFML2B","1.150","7.721","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CXCL10","-0.806","-7.715","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","APCDD1","4.446","7.659","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","CRISP3","4.432","7.635","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","TNFAIP6","0.932","7.601","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","MARCO","0.577","7.581","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CBS","0.798","7.579","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","FOSB","-0.571","-7.498","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","TDO2","1.114","7.478","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CD163","0.568","7.466","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","EDNRB","0.668","7.454","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","S100A9","0.896","7.439","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CEACAM8","-0.911","-7.434","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CTSL","0.565","7.424","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","S100A12","0.909","7.413","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","NAMPT","0.908","7.409","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CRISP3","-0.777","-7.381","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","HAMP","1.098","7.373","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","GLUL","0.886","7.351","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ADGRE2","1.094","7.346","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RETN","0.765","7.329","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CBS","0.898","7.326","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","F13A1","1.087","7.296","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CTSL","0.753","7.217","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CBS","1.071","7.194","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RETN","0.881","7.185","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CXCL1","0.878","7.163","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","DACT1","0.878","7.161","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CST6","-0.641","-7.156","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","SLC16A10","0.745","7.138","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","HAMP","0.638","7.114","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","OLFML2B","0.636","7.099","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RPL38","-0.737","-7.057","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","TCN1","4.091","7.047","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TGFBI","0.536","7.043","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","TDRD9","4.081","7.030","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","OLFML2B","0.731","7.003","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TGFBI","0.627","6.997","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","THBD","0.843","6.996","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","OLFML2B","0.679","6.994","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CTSL","0.679","6.986","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CCL2","0.842","6.985","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MS4A4A","0.735","6.985","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","EMP1","0.624","6.965","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MMP8","0.733","6.958","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CTSL","1.031","6.923","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","GK","0.831","6.896","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","NAMPT","0.724","6.881","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CXCL10","-0.668","-6.881","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TGFBI","0.667","6.869","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MS4A4A","0.827","6.866","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ENC1","0.720","6.843","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","OLFML2B","0.519","6.820","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ENC1","0.813","6.743","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MXD1","0.708","6.730","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLR1","-0.809","-6.712","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","MARCO","0.602","6.711","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","SLAMF7","-0.705","-6.696","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LCN2","0.996","6.685","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MS4A4A","0.819","6.681","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MS4A3","3.868","6.664","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CRISP3","-0.695","-6.660","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MCEMP1","3.839","6.614","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","GPR137B","0.692","6.570","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MS4A4A","3.805","6.555","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","HAMP","0.690","6.554","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RETN","0.789","6.546","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PSD3","0.586","6.541","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","OLR1","-0.688","-6.540","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","DSC2","0.801","6.537","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","PDPN","0.972","6.526","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RTN1","-0.681","-6.522","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LEP","0.969","6.503","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","HAMP","0.797","6.503","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CST6","-0.494","-6.487","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","FCGR1B","0.965","6.480","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","DSE","0.794","6.478","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","TMEM158","0.793","6.471","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","GPR137B","0.779","6.466","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LILRA3","0.792","6.463","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CD177","0.791","6.457","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ANXA3","0.677","6.435","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","DAB2","0.577","6.435","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","NR4A3","-0.489","-6.422","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","KCNJ15","0.773","6.414","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CD177","0.772","6.408","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","EDNRB","0.622","6.408","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","GK","0.954","6.404","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CXCL1","0.950","6.377","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","FXYD6","-0.485","-6.372","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","DSE","0.768","6.372","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","IL1R2","-0.571","-6.367","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ADGRE2","0.766","6.356","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","SERPINA1","0.779","6.355","True"
