"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","CYP26A1","-6.663","-11.546","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","COL3A1","8.097","11.542","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","COL3A1","6.631","11.491","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","MX2","1.415","11.113","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","SAMD9L","1.329","10.437","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","PAPPA2","5.873","10.176","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","LUM","5.714","9.901","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","SERPINA3","1.240","9.737","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","CYP26A1","-6.797","-9.689","False"
"Mcf7","48h","20ng/mL","E-MEXP-3662","MicroArray","BeadStudio.GDNF.normalised.data","FOSB","-1.175","-9.627","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","GABRP","5.336","9.246","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","PAPPA2","6.477","9.233","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","HSD3B1","6.356","9.061","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","CXCL14","6.294","8.972","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","IGFBP7","5.118","8.869","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","GCNA","1.125","8.830","False"
"Mcf7","8h","20ng/mL","E-MEXP-3662","MicroArray","BeadStudio.GDNF.normalised.data","MALL","0.696","8.706","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","LUM","6.044","8.615","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","CXCL14","4.971","8.613","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","SAMD9","1.097","8.613","False"
"Mcf7","48h","20ng/mL","E-MEXP-3662","MicroArray","BeadStudio.GDNF.normalised.data","FOS","-1.049","-8.595","False"
"Mcf7","24h","20ng/mL","E-MEXP-3662","MicroArray","BeadStudio.GDNF.normalised.data","IFI27","0.883","8.517","False"
"Mcf7","24h","20ng/mL","E-MEXP-3662","MicroArray","BeadStudio.GDNF.normalised.data","FOSB","-0.879","-8.481","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","GABRP","5.886","8.390","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","PCDH19","-4.833","-8.375","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","APOD","-1.066","-8.370","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","COL6A3","4.799","8.316","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","DUSP4","1.054","8.279","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","TNIK","1.044","8.200","False"
"Mcf7","8h","20ng/mL","E-MEXP-3662","MicroArray","BeadStudio.GDNF.normalised.data","SHC4","0.652","8.147","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","VTCN1","4.679","8.108","False"
"Nephron Cell Induction From Ips","2d","","GSE75711","RNASeq","","CCDC3","4.676","8.103","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","NMI","1.020","8.011","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","IGFBP7","5.604","7.989","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","KMO","1.017","7.987","False"
"Mcf7","24h","20ng/mL","E-MEXP-3662","MicroArray","BeadStudio.GDNF.normalised.data","FOS","-0.826","-7.962","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","OAS2","1.012","7.949","False"
"Nephron Cell Induction From Ips","4d","","GSE75711","RNASeq","","COL12A1","5.516","7.863","False"
"Mcf7 Aromatase Expressing Cells","6d","","GSE41405","MicroArray","GPL6244","TRIM22","1.001","7.862","False"
