"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Monocyte","","","GSE123270","MicroArray","GPL10558","HLA-DRB1","-6.022","-29.849","True"
"Neutrophil","1h","","GSE70068","RNASeq","","SOCS3","6.200","18.162","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","CD69","5.245","17.799","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","CISH","5.129","17.402","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","SOCS3","6.351","16.944","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","CISH","5.815","15.514","True"
"Neutrophil","1h","","GSE70068","RNASeq","","CD69","5.294","15.509","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","CD69","5.668","15.121","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","EGR1","5.620","14.993","True"
"Neutrophil","1h","","GSE70068","RNASeq","","CISH","5.116","14.988","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","CXCL11","6.172","14.927","True"
"Neutrophil","1h","","GSE70068","RNASeq","","IL1A","5.088","14.905","True"
"Neutrophil","1h","","GSE70068","RNASeq","","EGR1","5.036","14.753","True"
"Monocyte","","","GSE123270","MicroArray","GPL10558","F13A1","-2.973","-14.737","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","PMCH","5.804","14.036","True"
"Monocyte","","","GSE123573","RNASeq","","PPBP","9.476","13.943","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","IL1A","5.078","13.547","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","EZH2","3.979","13.501","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","DUSP6","5.547","13.415","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","CXCL10","5.503","13.308","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CXCL11","5.960","13.213","True"
"Neutrophil","1h","","GSE70068","RNASeq","","IL1B","4.443","13.015","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","MRC1","5.310","12.841","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","MRC1","5.749","12.744","True"
"Neutrophil","1h","","GSE70068","RNASeq","","HBEGF","4.333","12.693","True"
"Monocyte","","","GSE123573","RNASeq","","CXCL5","8.572","12.613","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CCND2","5.566","12.339","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","INHBA","3.614","12.263","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","ABCA6","4.312","12.257","False"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","CCND2","5.063","12.245","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CXCL10","5.480","12.148","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CH25H","5.472","12.130","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","ANKRD22","3.548","12.039","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","CH25H","4.234","12.035","False"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","IL1B","4.508","12.026","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","IL4I1","5.346","11.851","True"
"Neutrophil","1h","","GSE70068","RNASeq","","RHOH","4.029","11.804","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","IL1RN","3.477","11.797","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","IFI44L","-4.133","-11.746","False"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","GNAQ","3.447","11.696","True"
"Monocyte","","","GSE123270","MicroArray","GPL10558","RNASE1","-2.358","-11.688","True"
"Monocyte","","","GSE123573","RNASeq","","CSF1","7.934","11.674","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CCR10","5.247","11.633","True"
"Tf1.Pmscv-Puro Empty Vector","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","EGR1","-1.991","-11.600","True"
"Cd14Pos_Monocyte","72h","","GSE96703","MicroArray","GPL6947","HLA-DRB5","7.163","11.417","False"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","HBEGF","4.245","11.325","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","RHOH","4.203","11.213","True"
"Eosinophil","","","GSE128027","RNASeq","","CXCL8","7.596","11.169","True"
"Monocyte","4h","","GSE35304","MicroArray","GPL6480","SLC7A11","9.995","11.085","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","WSB2","3.249","11.024","True"
"Neutrophil","1h","","GSE70068","RNASeq","","OLR1","3.748","10.980","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","IFNA10","4.921","10.909","True"
"Mdc","","","GSE89442","RNASeq","","CCL24","11.713","10.878","True"
"Tf1.Pmscvpuro-Gnb1K89E","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","EGR1","-1.700","-10.780","True"
"Monocyte","","","GSE123573","RNASeq","","CCL17","7.266","10.692","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","HRH4","3.979","10.616","True"
"Monocyte","","","GSE123270","MicroArray","GPL10558","MMP7","2.128","10.548","True"
