"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Pbmc","","","GSE16214","MicroArray","HG-U133_Plus_2","IFI27","3.431","35.501","True"
"Bronchial Epithelial","2h","1000U/mL","GSE19392","MicroArray","HT_HG-U133A","IFIT1","7.665","32.022","True"
"Supt1","","100U/m","E-MTAB-1326","MicroArray","SAMHD1_and_IFN_human_cells","IFIT1","9.368","31.045","True"
"Bronchial Epithelial","1.5h","1000U/mL","GSE19392","MicroArray","HT_HG-U133A","IFIT1","7.135","30.972","True"
"Peripheral Blood Mononuclear","1mon","","GSE33464","MicroArray","HG-U133_Plus_2","IFI27","4.214","30.524","True"
"Pbmc.Partial_Responder","4h","Clinical","GSE138064","MicroArray","HTA-2_0","CXCL10","5.213","30.141","True"
"Pbmc.Partial_Responder","4h","8MU","GSE138064","MicroArray","HTA-2_0","CXCL10","5.291","30.043","True"
"Huh7","1h","","GSE48400","MicroArray","GPL10558","FOS","3.299","29.973","True"
"Pbmc.Partial_Responder","4h","16MU","GSE138064","MicroArray","HTA-2_0","CXCL10","5.395","29.580","True"
"Pbmc.Complete_Responder","4h","8MU","GSE138064","MicroArray","HTA-2_0","CXCL10","4.330","29.441","False"
"Huh7","1h","","GSE48400","MicroArray","GPL10558","EGR1","3.225","29.297","True"
"Pbmc.Complete_Responder","4h","16MU","GSE138064","MicroArray","HTA-2_0","CXCL10","5.753","28.986","True"
"Huh7","1h","","GSE48400","MicroArray","GPL10558","IRF1","3.101","28.169","True"
"Pbmc From Patients With Multiple Sclerosis","12mon","","GSE26104","MicroArray","HG-U133_Plus_2","IFI27","5.803","28.137","True"
"Bronchial Epithelial","1h","1000U/mL","GSE19392","MicroArray","HT_HG-U133A","IFIT1","4.327","27.659","False"
"Peripheral Blood Mononuclear","12mon","","GSE33464","MicroArray","HG-U133_Plus_2","IFI44L","2.719","26.828","True"
"Bronchial Epithelial","4h","1000U/mL","GSE19392","MicroArray","HT_HG-U133A","IFIT1","8.772","26.570","True"
"A375","8h","1000Units/mL","GSE51114","MicroArray","GPL14550","INSM1","-6.063","-26.537","False"
"Pbmc From Patients With Multiple Sclerosis","3mon","","GSE26104","MicroArray","HG-U133_Plus_2","IFI27","6.980","26.517","True"
"Wm1361","8h","1000Units/mL","GSE51114","MicroArray","GPL14550","DRP2","-4.591","-26.341","False"
"Huh7","4h","","GSE48400","MicroArray","GPL10558","IFIT2","5.555","26.217","True"
"Hek293T","","","GSE99249","RNASeq","","IFIT3","7.466","25.788","True"
"Skmel2","8h","1000Units/mL","GSE51114","MicroArray","GPL14550","CCL4","-5.155","-25.568","False"
"Hek293T","","","GSE99249","RNASeq","","IFIT1","7.349","25.381","True"
"Ph5Ch8","12h","","GSE117127","RNASeq","","OAS2","7.307","25.120","True"
"Bronchial Epithelial","2h","1000U/mL","GSE19392","MicroArray","HT_HG-U133A","IFIT3","5.949","24.853","True"
"Ph5Ch8","12h","","GSE117127","RNASeq","","IFI6","7.214","24.800","True"
"Astrocytes.Cbl","4h","10U/mL","GSE89476","RNASeq","","IFIT1","8.369","24.614","True"
"Hela","10h","100U/mL","GSE103363","MicroArray","HuGene-1_0-st-v1","MX1","5.223","24.313","True"
"Supt1","","100U/m","E-MTAB-1326","MicroArray","SAMHD1_and_IFN_human_cells","IFI44L","7.306","24.210","True"
"Skmel39","8h","1000Units/mL","GSE51114","MicroArray","GPL14550","LOC441601","-3.372","-24.145","True"
"A549","","500U/mL","GSE35267","MicroArray","GPL10558","ISG15","5.824","23.941","True"
"Hnec","","","GSE19182","MicroArray","HuGene-1_0-st-v1","IFI44L","5.578","23.940","True"
