"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Normal Keratinocyte","","","GSE124939","RNASeq","","CXCL9","9.307","33.995","True"
"Normal Keratinocyte","","","GSE124939","RNASeq","","CXCL10","8.578","31.334","True"
"Supt1","","100U/m","E-MTAB-1326","MicroArray","SAMHD1_and_IFN_human_cells","ZNF300","-5.772","-29.657","True"
"Aaleb","","","GSE77154","MicroArray","HG-U133_Plus_2","MX1","5.185","29.594","True"
"Primary Lung Microvascular Endothelial","3h","","GSE106524","MicroArray","GPL13497","CXCL10","7.983","28.869","True"
"Normal Keratinocyte","","","GSE124939","RNASeq","","CXCL11","7.823","28.574","True"
"Primary Fibroblast","3h","","GSE106523","MicroArray","GPL13497","CCL8","7.357","28.359","True"
"A375","3h","50n/m","E-MEXP-3720","MicroArray","HuGene-1_0-st-v1","IDO1","5.357","27.762","True"
"Sle Keratinocyte","","","GSE124939","RNASeq","","CXCL9","9.610","27.625","True"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","HLA-DRA","7.507","27.556","True"
"B","6h","","GSE75007","MicroArray","GPL10558","WARS1","2.366","27.226","True"
"Primary Fibroblast","6h","","GSE106523","MicroArray","GPL13497","CCL8","8.227","26.675","True"
"Monocyte","","","GSE83957","MicroArray","GPL10558","CXCL10","6.578","26.668","True"
"Thp1 Macrophage_Tb Uninfected","2h","","GSE17477","MicroArray","HG-U133A_2","CXCL10","6.585","26.622","True"
"Thp1 Macrophage_Tb Infected","2h","","GSE17477","MicroArray","HG-U133A_2","CXCL9","6.148","26.570","True"
"Primary Fibroblast","6h","","GSE106523","MicroArray","GPL13497","IDO1","8.171","26.491","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","CXCL9","7.903","26.287","True"
"Reconstructed Epidermis","","20ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","CXCL9","8.220","26.278","True"
"Melanocyte","","","GSE76340","MicroArray","GPL6947","HLA-DRA","6.202","26.025","True"
"Sle Keratinocyte","","","GSE124939","RNASeq","","CXCL10","8.994","25.853","True"
"B","24h","","GSE75007","MicroArray","GPL10558","STAT1","2.337","25.844","True"
"A375","3h","50n/m","E-MEXP-3720","MicroArray","HuGene-1_0-st-v1","CXCL10","4.983","25.823","True"
"Primary Lung Microvascular Endothelial","3h","","GSE106524","MicroArray","GPL13497","CXCL9","7.122","25.756","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","CXCL9","6.486","25.647","True"
"Primary Fibroblast","24h","","GSE106523","MicroArray","GPL13497","IDO1","10.335","25.630","True"
"B","6h","","GSE75007","MicroArray","GPL10558","STAT1","2.217","25.514","True"
"Melanoma","","","GSE85898","MicroArray","HG-U133_Plus_2","GBP1","5.216","25.490","True"
"Alveolar Macrophage","24h","20ng/mL","GSE64995","MicroArray","HuEx-1_0-st-v1","CXCL9","8.028","25.365","True"
"Primary Lung Microvascular Endothelial","6h","","GSE106524","MicroArray","GPL13497","CXCL9","8.876","25.363","True"
"B","48h","","GSE75007","MicroArray","GPL10558","STAT1","2.479","25.322","True"
"B","24h","","GSE75007","MicroArray","GPL10558","WARS1","2.278","25.189","True"
"Endothelial","","","GSE3920","MicroArray","GPL96","CXCL11","9.322","25.116","True"
"Hela","10h","100U/mL","GSE103363","MicroArray","HuGene-1_0-st-v1","IDO1","7.211","24.712","True"
"Primary Lung Microvascular Endothelial","6h","","GSE106524","MicroArray","GPL13497","CXCL10","8.647","24.707","True"
"Hsg","4h","50ng/mL","GSE41291","MicroArray","GPL6947","UBD","5.054","24.637","True"
"Umbilical Vein Endothelial","","","GSE76340","MicroArray","GPL10558","CXCL10","7.186","24.574","True"
"Alf1 Plasma Cell Leukaemia","2h","1ng/mL","GSE94057","RNASeq","","IRF1","4.546","24.572","True"
"A375","12h","50n/m","E-MEXP-3720","MicroArray","HuGene-1_0-st-v1","IDO1","7.952","24.560","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","CXCL10","6.206","24.540","True"
"Melanoma","","","GSE85898","MicroArray","HG-U133_Plus_2","CXCL10","5.016","24.512","True"
"Monocyte-Dervied Macrophage","2h","","GSE82227","RNASeq","","CXCL10","7.275","24.464","True"
"Endothelial","","","GSE3920","MicroArray","GPL96","CXCL10","9.071","24.441","True"
"Hnec","","","GSE19182","MicroArray","HuGene-1_0-st-v1","CXCL10","8.085","24.313","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","CXCL10","7.273","24.191","True"
"Sle Keratinocyte","","","GSE124939","RNASeq","","CXCL11","8.387","24.110","True"
"Squamous Cell Carcinoma","","","GSE109720","RNASeq","","CXCL9","8.169","24.021","True"
"Dendritic","","100U/m","E-MTAB-1326","MicroArray","SAMHD1_and_IFN_human_cells","CXCL9","8.898","23.997","True"
"Fibroblast","6h","","GSE50954","MicroArray","GPL6104","GBP4","5.611","23.985","True"
"Alveolar Macrophage","24h","20ng/mL","GSE64995","MicroArray","HuEx-1_0-st-v1","CXCL10","7.584","23.962","True"
"Endothelial","","","GSE3920","MicroArray","GPL96","IDO1","8.833","23.799","True"
"Primary Lung Microvascular Endothelial","6h","","GSE106524","MicroArray","GPL13497","CXCL11","8.308","23.740","True"
"Hela","10h","100U/mL","GSE103363","MicroArray","HuGene-1_0-st-v1","CXCL10","6.919","23.711","True"
"Monocyte","","","GSE83957","MicroArray","GPL10558","GBP5","5.849","23.711","True"
"Thp1 Macrophage_Tb Uninfected","2h","","GSE17477","MicroArray","HG-U133A_2","CCL8","5.859","23.686","True"
"Umbilical Vein Endothelial","","","GSE76340","MicroArray","GPL10558","CXCL9","6.912","23.636","True"
"Hsg","4h","50ng/mL","GSE41291","MicroArray","GPL6947","CXCL10","4.802","23.408","True"
"Primary Lung Microvascular Endothelial","3h","","GSE106524","MicroArray","GPL13497","CXCL11","6.454","23.342","True"
"Hepatocyte","6h","","GSE38147","MicroArray","HuGene-1_0-st-v1","CXCL9","7.266","23.295","True"
"Squamous Cell Carcinoma","","","GSE109720","RNASeq","","IDO1","7.896","23.217","True"
"Primary Fibroblast","6h","","GSE106523","MicroArray","GPL13497","CXCL10","7.146","23.170","True"
"Primary Fibroblast","6h","","GSE106523","MicroArray","GPL13497","CXCL9","7.143","23.159","True"
"Reconstructed Epidermis","","20ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","CXCL11","7.203","23.025","True"
"B","3h","","GSE75007","MicroArray","GPL10558","IRF1","1.659","22.997","True"
"A375","3h","50n/m","E-MEXP-3720","MicroArray","HuGene-1_0-st-v1","IRF1","4.436","22.989","True"
"Hela","10h","100U/mL","GSE103363","MicroArray","HuGene-1_0-st-v1","GBP4","6.703","22.970","True"
"Dermal Fibroblast_Patient","10h","1000IU/mL","GSE67737","MicroArray","GPL10558","IDO1","6.590","22.671","True"
"Fibroblast","4d","100IU/mL","GSE38798","MicroArray","GPL6947","HLA-DRA","6.932","22.666","True"
"Fibroblast","","","GSE76340","MicroArray","GPL6947","HLA-DRA","6.932","22.665","True"
"B","6h","","GSE75007","MicroArray","GPL10558","GBP4","1.968","22.652","True"
"Gmcsf","12h","","GSE46903","MicroArray","GPL6947","CXCL10","7.244","22.623","True"
"Melanoma","","","GSE64506","MicroArray","HuGene-2_0-st","GBP4","6.300","22.549","True"
"Hsg","12h","50ng/mL","GSE41291","MicroArray","GPL6947","UBD","5.288","22.542","True"
"Endothelial","","","GSE3920","MicroArray","GPL96","CXCL9","8.365","22.538","True"
"Dermal Fibroblast_Control","10h","1000IU/mL","GSE67737","MicroArray","GPL10558","IDO1","6.605","22.521","True"
"Monocyte","","","GSE83957","MicroArray","GPL10558","CCL8","5.548","22.492","True"
"Melanoma","","","GSE85898","MicroArray","HG-U133_Plus_2","IDO1","4.597","22.464","True"
"B","3h","","GSE75007","MicroArray","GPL10558","STAT1","1.621","22.460","True"
"Aml.Plb985","","","E-MTAB-5690","MicroArray","HuGene-2_0-st","GBP2","5.770","22.420","True"
"Huvec","","","GSE6092","MicroArray","HG-U133_Plus_2","CXCL11","7.886","22.379","True"
"B","12h","","GSE75007","MicroArray","GPL10558","STAT1","2.070","22.315","True"
"Monocyte","","","GSE83957","MicroArray","GPL10558","CXCL9","5.502","22.303","True"
"Aml.Plb985","","","E-MTAB-5690","MicroArray","HuGene-2_0-st","GBP5","5.716","22.210","True"
"Primary Fibroblast","3h","","GSE106523","MicroArray","GPL13497","CXCL10","5.709","22.003","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP1","4.396","21.914","True"
"Pbmc Lps Primed","","","GSE46914","MicroArray","HG-U133_Plus_2","CXCL9","6.894","21.887","True"
"B","12h","","GSE75007","MicroArray","GPL10558","WARS1","2.028","21.868","True"
"Huvec","","","GSE6092","MicroArray","HG-U133_Plus_2","CXCL10","7.689","21.820","True"
"Hek293 Delta-Raf1:Er","4h","","GSE97979","RNASeq","","IRF1","2.244","21.335","True"
"Squamous Cell Carcinoma","","","GSE109720","RNASeq","","CXCL10","7.208","21.196","True"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","CXCL11","5.756","21.128","True"
"Double Negative","","","GSE89612","MicroArray","GPL16699","IDO1","12.034","21.105","True"
"B","12h","","GSE75007","MicroArray","GPL10558","PLAAT4","1.952","21.044","True"
"Primary Lung Microvascular Endothelial","24h","","GSE106524","MicroArray","GPL13497","IDO1","9.429","21.042","True"
"Primary Fibroblast","3h","","GSE106523","MicroArray","GPL13497","IDO1","5.457","21.032","True"
"Melanoma","","","GSE85898","MicroArray","HG-U133_Plus_2","ITK","4.301","21.017","True"
"B","96h","","GSE75007","MicroArray","GPL10558","STAT1","2.147","20.985","True"
"Primary Lung Microvascular Endothelial","24h","","GSE106524","MicroArray","GPL13497","CXCL9","9.369","20.910","True"
"Hcc","24h","1000IU/mL","GSE68927","MicroArray","HG-U133_Plus_2","CMPK2","5.165","20.900","True"
"Thp1 Macrophage_Tb Infected","2h","","GSE17477","MicroArray","HG-U133A_2","CCL8","4.833","20.889","True"
"B","48h","","GSE75007","MicroArray","GPL10558","WARS1","2.040","20.836","True"
"Gmcsf","24h","","GSE46903","MicroArray","GPL6947","CXCL10","7.124","20.748","True"
"Hcc","24h","1000IU/mL","GSE68927","MicroArray","HG-U133_Plus_2","IFIT1","5.116","20.701","True"
"Melanocyte","","","GSE76340","MicroArray","GPL6947","HLA-DRB5","4.923","20.659","True"
"Alveolar Macrophage","24h","20ng/mL","GSE64995","MicroArray","HuEx-1_0-st-v1","IDO1","6.515","20.586","True"
"Gmcsf","12h","","GSE46903","MicroArray","GPL6947","CXCL9","6.575","20.535","True"
"Gmcsf","6h","","GSE46903","MicroArray","GPL6947","CXCL9","6.201","20.534","True"
"Hmec1","","","GSE19082","MicroArray","GPL6104","CXCL10","3.875","20.491","True"
"Normal Primary Thyroid","","100IU/mL","GSE5054","MicroArray","HG-U133A","CXCL9","6.392","20.458","True"
"Melanoma","","","GSE85898","MicroArray","HG-U133_Plus_2","IRF1","4.182","20.437","True"
"Monocyte-Derived Dendritic","","","GSE47621","MicroArray","HuGene-1_0-st-v1","IFI44L","2.875","20.375","True"
"Umbilical Vein Endothelial","","","GSE76340","MicroArray","GPL10558","CD74","5.952","20.354","True"
"Reconstructed Epidermis","","20ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","CXCL10","6.354","20.313","True"
"A375","12h","50n/m","E-MEXP-3720","MicroArray","HuGene-1_0-st-v1","CXCL10","6.570","20.290","True"
"Hcc","24h","1000IU/mL","GSE68927","MicroArray","HG-U133_Plus_2","DDX60","5.010","20.275","True"
"Um-Chor1","24h","50ng/mL","GSE77732","MicroArray","HuGene-2_0-st","IFITM1","4.912","20.157","True"
"A375","12h","50n/m","E-MEXP-3720","MicroArray","HuGene-1_0-st-v1","GBP4","6.526","20.155","True"
"Monocyte","","","GSE83957","MicroArray","GPL10558","GBP4","4.967","20.135","True"
"Monocyte-Derived Macrophage","24h","20ng/mL","GSE64996","MicroArray","HuEx-1_0-st-v1","CXCL9","7.613","20.122","True"
"Umbilical Vein Endothelial","","","GSE76340","MicroArray","GPL10558","HLA-DRA","5.866","20.059","True"
"Hsg","24h","50ng/mL","GSE41291","MicroArray","GPL6947","GBP2","5.618","19.964","True"
"Hepatocyte","6h","","GSE38147","MicroArray","HuGene-1_0-st-v1","CXCL10","6.218","19.933","True"
"Um-Chor1","24h","50ng/mL","GSE77732","MicroArray","HuGene-2_0-st","XAF1","4.847","19.891","True"
"Primary Fibroblast","3h","","GSE106523","MicroArray","GPL13497","CCL7","5.143","19.824","True"
"Hela","6h","","GSE11299","MicroArray","GPL6790","IDO1","5.306","19.732","True"
"Umbilical Vein Endothelial","","","GSE76340","MicroArray","GPL10558","IDO1","5.766","19.717","True"
"Dendritic","","100U/m","E-MTAB-1326","MicroArray","SAMHD1_and_IFN_human_cells","CXCL10","7.291","19.663","True"
"Monocyte","","","GSE83957","MicroArray","GPL10558","IDO1","4.835","19.602","True"
