"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"H9","45d","","GSE89957","RNASeq","","HBB","5.092","19.324","False"
"H9","45d","","GSE89957","RNASeq","","KRT1","4.749","18.023","False"
"Hela Kyoto","4h","6.25ng/mL","GSE121485","RNASeq","","LCN2","1.379","15.793","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","MX1","1.983","14.617","False"
"Hela Kyoto","4h","12.5ng/mL","GSE121485","RNASeq","","LCN2","1.353","14.357","False"
"H9","45d","","GSE89957","RNASeq","","KRTDAP","3.591","13.626","False"
"H9","45d","","GSE89957","RNASeq","","S100A8","3.484","13.220","False"
"H9","90d","","GSE89957","RNASeq","","S100A9","2.870","13.115","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","CEBPD","-1.670","-13.022","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","PPP1R3C","-1.669","-13.009","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","ACTC1","1.751","12.905","False"
"H9","90d","","GSE89957","RNASeq","","KRT13","2.663","12.172","False"
"H9","45d","","GSE89957","RNASeq","","CSTA","3.114","11.817","False"
"Hela Kyoto","4h","6.25ng/mL","GSE121485","RNASeq","","FOLR1","1.015","11.629","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","SCD","1.546","11.394","False"
"Hela Kyoto","4h","6.25ng/mL","GSE121485","RNASeq","","GPNMB","0.991","11.348","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","CRISPLD2","1.523","11.224","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","MYH3","1.521","11.212","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","BHLHE40","1.419","11.061","False"
"Ccl171 Fibroblast","24h","50ng/mL","GSE18954","MicroArray","GPL9550","GPRC5D","-6.163","-10.851","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","MGARP","-1.408","-10.380","False"
"H9","90d","","GSE89957","RNASeq","","S100A7","2.240","10.237","False"
"H9","90d","","GSE89957","RNASeq","","S100A8","2.220","10.147","False"
"H9","90d","","GSE89957","RNASeq","","CEACAM6","2.215","10.123","False"
"Hela Kyoto","4h","12.5ng/mL","GSE121485","RNASeq","","GPNMB","0.953","10.115","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","BDKRB1","1.294","10.089","False"
"H9","45d","","GSE89957","RNASeq","","KRT4","2.633","9.993","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","MIDN","1.281","9.982","False"
"H9","45d","","GSE89957","RNASeq","","KRT10","2.619","9.939","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","DEPP1","-1.255","-9.784","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","PLAT","-1.323","-9.755","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","LFNG","1.248","9.732","False"
"H9","45d","","GSE89957","RNASeq","","HTR2C","-2.539","-9.633","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","SLC14A1","-1.306","-9.626","False"
"H9","45d","","GSE89957","RNASeq","","S100A9","2.531","9.604","False"
"H9","90d","","GSE89957","RNASeq","","SERPINB3","2.097","9.586","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","RGS4","-1.298","-9.565","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","RASD1","-1.289","-9.500","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","KLF10","1.211","9.442","False"
"Hela Kyoto","4h","12.5ng/mL","GSE121485","RNASeq","","FOLR1","0.889","9.433","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","LRIG3","-1.199","-9.343","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","BTG1","-1.197","-9.331","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","DDIT4L","-1.194","-9.309","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","GAS1","-1.187","-9.257","False"
"Hela Kyoto","4h","100ng/mL","GSE121485","RNASeq","","UBALD2","-1.987","-9.244","False"
"H9","45d","","GSE89957","RNASeq","","GNGT1","2.403","9.120","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","SQSTM1","-1.235","-9.101","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","HECW2","-1.227","-9.045","False"
"H9","45d","","GSE89957","RNASeq","","SPRR3","2.362","8.963","False"
"H9","45d","","GSE89957","RNASeq","","KRT5","2.348","8.910","False"
"Choriocarcinoma","48h","100ng/mL","GSE119651","MicroArray","GPL21185","ACE2","-2.936","-8.802","False"
"Mcf7 Breast Cancer","24h","50ng/mL","GSE18953","MicroArray","GPL9550","ZNF780B","4.928","8.784","False"
"Choriocarcinoma","48h","100ng/mL","GSE119651","MicroArray","GPL21185","MTCL1","-2.926","-8.774","False"
"H9","45d","","GSE89957","RNASeq","","AQP1","-2.310","-8.765","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","SOD2","-1.189","-8.762","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","TRIB1","1.124","8.761","False"
"Choriocarcinoma","48h","100ng/mL","GSE119651","MicroArray","GPL21185","MLIP","-2.875","-8.620","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","TXNIP","-1.101","-8.580","False"
"Endometrial Carcinoma","","","GSE109022","MicroArray","GPL17692","TCP11L2","-1.819","-8.573","False"
"Mcf7","3h","","GSE26834","MicroArray","HG-U133A_2","STON1","-2.822","-8.555","False"
"Hela Kyoto","4h","100ng/mL","GSE121485","RNASeq","","HSPA1A","1.830","8.511","False"
"Endometrial Carcinoma","","","GSE109022","MicroArray","GPL17692","KLHL24","-1.802","-8.490","False"
"Mcf7","3h","","GSE7561","MicroArray","HG-U133A_2","STON1","-2.766","-8.484","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","SERTAD1","1.087","8.476","False"
"H9","90d","","GSE89957","RNASeq","","OR51E2","1.848","8.448","False"
"Choriocarcinoma","48h","100ng/mL","GSE119651","MicroArray","GPL21185","SLAMF7","-2.804","-8.408","False"
"Endometrial Carcinoma","","","GSE109022","MicroArray","GPL17692","CALCOCO1","-1.779","-8.380","False"
"Choriocarcinoma","48h","100ng/mL","GSE119651","MicroArray","GPL21185","ODAPH","-2.793","-8.373","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","MMP1","-1.135","-8.364","False"
"H9","45d","","GSE89957","RNASeq","","TFPI2","2.189","8.305","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","TUBB3","1.122","8.266","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","SNAI1","1.060","8.261","False"
"Choriocarcinoma","48h","100ng/mL","GSE119651","MicroArray","GPL21185","NPFFR2","-2.751","-8.247","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","TWIST1","-1.057","-8.237","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","CITED2","-1.048","-8.173","False"
"Endometrial Carcinoma","","","GSE109022","MicroArray","GPL17692","YPEL3","-1.729","-8.148","False"
"H9","45d","","GSE89957","RNASeq","","SPRR1B","2.145","8.139","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","EHD1","1.042","8.122","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","PHGDH","1.102","8.122","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","HBEGF","1.037","8.084","False"
"H9","45d","","GSE89957","RNASeq","","TTR","-2.129","-8.080","False"
"H9","90d","","GSE89957","RNASeq","","KRT15","1.764","8.061","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","STMN3","1.033","8.056","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","DDIT4","1.025","7.992","False"
"H9","45d","","GSE89957","RNASeq","","DSG1","2.103","7.980","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","SOX9","1.022","7.970","False"
"Wm35","","","GSE59343","MicroArray","GPL10558","YPEL3","-1.489","-7.966","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","DLX3","1.017","7.929","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","SERPINE1","1.015","7.912","False"
"H9","90d","","GSE89957","RNASeq","","COL8A1","1.713","7.831","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","TNFRSF1B","1.004","7.823","False"
"Choriocarcinoma","48h","100ng/mL","GSE119651","MicroArray","GPL21185","GLP1R","-2.607","-7.818","False"
"Osteoblast","24h","100nM","GSE21727","MicroArray","GPL6104","PI16","-1.054","-7.768","False"
"H9","45d","","GSE89957","RNASeq","","TACR3","-2.043","-7.754","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","MSX1","0.993","7.740","False"
"H9","45d","","GSE89957","RNASeq","","RLBP1","2.037","7.732","False"
"Osteoblast","2h","100nM","GSE21727","MicroArray","GPL6104","SPATA2L","0.992","7.730","False"
