"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","EGR1","5.588","26.224","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CXCL8","5.416","25.416","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CXCL2","4.727","22.184","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","CXCL1","5.650","21.430","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","CXCL8","9.237","21.050","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","EGR2","4.189","19.658","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","IL1A","8.446","19.248","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","CXCL1","6.171","19.031","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","CXCL1","8.317","18.953","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CXCL1","3.966","18.614","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","ICAM1","5.782","17.829","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","TNFAIP2","5.746","17.719","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","CSF3","6.852","17.634","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","CCL20","6.786","17.462","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","CXCL3","7.654","17.443","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","CXCL2","6.718","17.384","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","IFT74","-0.734","-17.276","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","IL6","7.557","17.221","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","CXCL2","7.530","17.160","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","CXCL1","6.644","17.099","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","CXCL8","4.489","17.025","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","C3","4.478","16.984","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CXCL3","3.597","16.881","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","IFT74","-0.766","-16.798","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","CXCL2","4.330","16.425","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","LTB","5.295","16.329","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","TNFAIP2","6.315","16.252","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","ICAM1","6.289","16.184","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","CCL20","7.042","16.048","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","SAA1","4.229","16.040","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","CFB","3.882","15.988","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","EGR4","6.946","15.828","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","CSF2","6.905","15.737","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","TNFAIP3","6.885","15.691","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","IFT74","-0.819","-15.514","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","CCL20","4.989","15.386","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","CXCL3","5.900","15.268","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","TNFAIP2","3.987","15.121","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","PLAT","4.887","15.070","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","CXCL1","5.817","15.053","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","UBD","4.848","14.950","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","TNFAIP6","6.485","14.778","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","CXCL2","4.766","14.696","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","CXCL8","4.660","14.371","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","CXCL8","5.509","14.176","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","EGR2","6.181","14.086","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","LTB","5.472","14.082","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","ICAM1","3.684","13.971","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","MX1","4.511","13.910","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","S100A12","3.369","13.879","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","CSF3","4.427","13.651","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","CXCL3","5.280","13.588","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","CXCL2","5.274","13.572","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","XIST","0.749","13.384","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","PTX3","5.081","13.074","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","PLAT","5.050","12.995","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","FOS","2.762","12.963","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","EGR2","0.589","12.925","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","IL1B","5.020","12.918","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","CXCL3","3.372","12.788","True"
