"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","","CXCL8","4.574","32.364","True"
"Lung Fibroblast","1h","","GSE60880","MicroArray","HG-U133A_2","CXCL2","7.214","31.871","True"
"Nontransformed Primary Fetal Intestinal Epithelial","","","GSE62208","MicroArray","HuGene-2_0-st","CXCL8","5.590","31.465","True"
"Lung Fibroblast","1h","","GSE60880","MicroArray","HG-U133A_2","CXCL3","6.752","29.829","True"
"Ra Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","CXCL8","7.910","28.909","True"
"Amnion Mesenchymal","1h","10ng/mL","GSE26315","MicroArray","HG-U133A_2","CXCL2","7.980","28.648","True"
"Lung Fibroblast","1h","","GSE60880","MicroArray","HG-U133A_2","CXCL1","6.307","27.863","True"
"Huvec","4h","0.5ng/mL","GSE37624","MicroArray","GPL6102","SELE","6.751","27.844","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","","CXCL10","3.889","27.518","True"
"Amnion Mesenchymal","1h","10ng/mL","GSE26315","MicroArray","HG-U133A_2","CXCL3","7.453","26.754","True"
"Oa Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","CXCL8","7.956","26.336","True"
"Huvec","4h","0.5ng/mL","GSE37624","MicroArray","GPL6102","CCL20","6.276","25.885","True"
"Breast Cancer","3h","","GSE67295","RNASeq","","IGFL1","6.369","25.385","True"
"Lung Fibroblast","2h","","GSE60880","MicroArray","HG-U133A_2","CXCL2","8.407","25.144","True"
"Lung Fibroblast","2h","","GSE60880","MicroArray","HG-U133A_2","CXCL3","8.403","25.132","True"
"Primary Gingival Fibroblast","","","GSE68685","MicroArray","GPL10558","CXCL8","6.648","25.047","True"
"Lung Fibroblast","1h","","GSE60880","MicroArray","HG-U133A_2","CXCL8","5.635","24.893","True"
"Lung Fibroblast","2h","","GSE60880","MicroArray","HG-U133A_2","CXCL1","8.323","24.892","True"
"Amnion Mesenchymal","8h","10ng/mL","GSE26315","MicroArray","HG-U133A_2","CXCL2","7.593","24.717","True"
"Primary Chondrocyte","24h","10e-11M","GSE75181","MicroArray","GPL10558","CXCL8","6.560","24.679","True"
"Primary Chondrocyte","24h","10e-11M","GSE75181","MicroArray","GPL10558","IL6","6.419","24.150","True"
"Asm_Gfp","","","GSE13168","MicroArray","HG-U133A","CXCL2","7.513","23.943","True"
"Vascular Endothelial","","","GSE115311","RNASeq","","CXCL8","8.303","23.860","True"
"Primary Chondrocyte","24h","10e-11M","GSE75181","MicroArray","GPL10558","CCL20","6.186","23.274","True"
"Vascular Endothelial","","","GSE115311","RNASeq","","CXCL1","8.079","23.214","True"
"Huvec","4h","0.5ng/mL","GSE37624","MicroArray","GPL6102","CSF2","5.615","23.160","True"
"Ra Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","CXCL6","6.312","23.070","True"
"Vascular Endothelial","","","GSE115311","RNASeq","","CXCL2","7.998","22.981","True"
"Amnion Mesenchymal","8h","10ng/mL","GSE26315","MicroArray","HG-U133A_2","CXCL3","7.041","22.920","True"
"Ra Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","CXCL1","6.215","22.716","True"
"Asm_Pki","","","GSE13168","MicroArray","HG-U133A","CXCL1","6.929","22.461","True"
"Vascular Endothelial","","","GSE115311","RNASeq","","CXCL3","7.754","22.282","True"
"Primary Gingival Fibroblast","","","GSE68685","MicroArray","GPL10558","IL6","5.863","22.088","True"
"Nontransformed Primary Fetal Intestinal Epithelial","","","GSE62208","MicroArray","HuGene-2_0-st","TNFAIP3","3.920","22.065","True"
"Aortic Smooth Muscle","2h","10ng/mL","GSE59740","MicroArray","HG-U133A_2","CCL20","7.233","22.036","True"
"Lung Fibroblast","2h","","GSE60880","MicroArray","HG-U133A_2","CXCL8","7.348","21.976","True"
"Asm_Gfp","","","GSE13168","MicroArray","HG-U133A","CXCL8","6.871","21.900","True"
"Oa Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","CXCL6","6.606","21.868","True"
"Oa Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","CXCL1","6.570","21.749","True"
"Lung Fibroblast","1h","","GSE60880","MicroArray","HG-U133A_2","TNFAIP3","4.918","21.728","True"
"Asm_Gfp","","","GSE13168","MicroArray","HG-U133A","CXCL1","6.802","21.679","True"
"Amnion Mesenchymal","8h","10ng/mL","GSE26315","MicroArray","HG-U133A_2","VCAM1","6.660","21.679","True"
"Asm_Pki","","","GSE13168","MicroArray","HG-U133A","CXCL8","6.677","21.646","True"
"Asm_Pki","","","GSE13168","MicroArray","HG-U133A","CXCL3","6.645","21.540","True"
"Huvec","4h","0.5ng/mL","GSE37624","MicroArray","GPL6102","CXCL1","5.173","21.336","True"
"Lung Fibroblast","2h","","GSE60880","MicroArray","HG-U133A_2","CCL20","7.009","20.963","True"
"Primary Chondrocyte","24h","10e-11M","GSE75181","MicroArray","GPL10558","CXCL1","5.568","20.948","True"
"Asm_Pki","","","GSE13168","MicroArray","HG-U133A","CXCL2","6.419","20.808","True"
"Nontransformed Primary Fetal Intestinal Epithelial","","","GSE62208","MicroArray","HuGene-2_0-st","NFKBIA","3.694","20.792","True"
"Oa Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","CCL20","6.274","20.766","True"
"A549","6h","","GSE120269","RNASeq","","CCL20","7.401","20.735","True"
"Huvec","4h","0.5ng/mL","GSE37624","MicroArray","GPL6102","CXCL2","5.005","20.644","True"
"Asm_Gfp","","","GSE13168","MicroArray","HG-U133A","CXCL3","6.471","20.625","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","","ISG15","2.895","20.485","True"
"Swan71 Trophoblast","","10ng/mL","GSE31679","MicroArray","GPL6947","CSF2","7.346","20.457","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","","CXCL6","2.874","20.339","True"
"Swan71 Trophoblast","","1ng/mL","GSE31679","MicroArray","GPL6947","CSF2","6.857","20.231","True"
"Htert-Hma/B Myometrial","","","GSE134896","RNASeq","","CSF2","4.746","20.116","True"
"Ra Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","CCL20","5.492","20.073","True"
"Nontransformed Primary Fetal Intestinal Epithelial","","","GSE62208","MicroArray","HuGene-2_0-st","GPR183","-3.542","-19.936","True"
"Chondrocyte","","","GSE68428","MicroArray","HuGene-2_0-st","CXCL8","7.526","19.758","True"
"Il1Ri+ Th17","","","GSE127457","RNASeq","","IL17F","3.245","19.757","True"
"Primary Gingival Fibroblast","","","GSE68685","MicroArray","GPL10558","CXCL1","5.238","19.735","True"
"Oa Synovial Tissue","","10ng","GSE49604","MicroArray","GPL10558","IL6","5.949","19.693","True"
"Hpaecs_Bet762","48h","","GSE125508","MicroArray","Clariom_S_Human","C3","7.899","19.650","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","","MX1","2.767","19.575","True"
"Lung Fibroblast","2h","","GSE60880","MicroArray","HG-U133A_2","TNFAIP3","6.514","19.482","True"
