"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Pbmc","","","GSE12839","MicroArray","HG-U133A","IFNG","4.319","26.421","True"
"T Cd4","48h","","GSE20198","MicroArray","HG-U133A","IFNG","4.807","26.355","False"
"T Cd4h","48h","","GSE32959","MicroArray","HG-U133_Plus_2","IFNG","4.585","22.943","True"
"Cd8Cd45Ra+","","","GSE27337","MicroArray","GPL6884","IFNG","3.186","21.600","False"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","IFNG","3.725","21.182","True"
"Activated Naive T Cd4","","","GSE78276","RNASeq","","IFNG","4.016","20.193","False"
"T Cd4h","24h","","GSE32959","MicroArray","HG-U133_Plus_2","IFNG","3.565","19.903","True"
"Nk","","","GSE63038","MicroArray","HG-U133A","P2RX5","2.921","19.829","False"
"T Cd4h","12h","","GSE32959","MicroArray","HG-U133_Plus_2","IFNG","3.856","18.635","True"
"Blood Tregs","4d","20ng/mL","GSE119191","RNASeq","","IFNG","4.730","17.910","False"
"Nk","","","GSE63038","MicroArray","HG-U133A","IFNG","2.146","14.564","False"
"T Cd4","48h","","GSE20198","MicroArray","HG-U133A","IL12RB2","2.389","13.099","False"
"T Cd4","48h","","GSE20198","MicroArray","HG-U133A","GZMB","2.372","13.006","False"
"Cd8Cd45Ra+","","","GSE27337","MicroArray","GPL6884","KLRC1","1.897","12.862","False"
"Activated Naive T Cd4","","","GSE78276","RNASeq","","GZMB","2.546","12.801","False"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","GZMB","2.203","12.524","True"
"Cd8Cd45Ra+","","","GSE27337","MicroArray","GPL6884","IL18RAP","1.776","12.038","False"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","ANXA3","2.108","11.986","True"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","TWIST1","2.085","11.857","True"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","IFI44L","2.057","11.697","True"
"Cd8Cd45Ra+","","","GSE27337","MicroArray","GPL6884","ITM2C","-1.671","-11.331","False"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","IL18RAP","1.989","11.307","True"
"Cd8Cd45Ra+","","","GSE27337","MicroArray","GPL6884","CXCL8","1.644","11.148","False"
"Pbmc","","","GSE12839","MicroArray","HG-U133A","LIF","1.803","11.032","True"
"T Cd4","48h","","GSE20198","MicroArray","HG-U133A","IL18RAP","1.997","10.950","False"
"Cd8Cd45Ra+","","","GSE27337","MicroArray","GPL6884","STAG3","1.608","10.905","False"
"Nk","","","GSE63038","MicroArray","HG-U133A","LAG3","1.597","10.841","False"
"Cd8Cd45Ra+","","","GSE27337","MicroArray","GPL6884","FES","1.594","10.806","False"
"Pbmc","","","GSE12839","MicroArray","HG-U133A","GZMB","1.760","10.768","True"
"Cd8Cd45Ra+","","","GSE27337","MicroArray","GPL6884","PTMS","1.582","10.728","False"
