"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","S100A7","7.310","32.606","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","IL36G","3.455","25.656","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","CXCL6","5.288","23.584","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","SPRR2C","3.104","23.045","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","CCL20","4.841","21.592","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","SERPINB4","4.739","21.135","True"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","SAA1","3.118","21.051","True"
"Bronchial Airway Smooth Muscle","2h","10ng/mL","GSE35643","MicroArray","HuGene-1_0-st-v1","NFKBIZ","1.860","20.891","True"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","NFKBIZ","3.056","20.632","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","SPRR2C","4.603","20.529","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","NDRG2","4.588","20.465","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","SPRR2E","2.684","19.930","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","PDZK1IP1","4.363","19.459","True"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","REG3A","2.822","19.056","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","SAA1","4.258","18.990","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","S100A7","4.505","18.165","True"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","DUOX2","2.688","18.150","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","SERPINB4","2.437","18.093","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","PI3","2.434","18.070","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","ZC3H12A","2.404","17.846","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","S100A12","3.985","17.776","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","IL36G","3.833","17.097","True"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","LGALS2","2.512","16.962","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","S100A7","5.301","16.284","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","S100A12","3.991","16.092","True"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","CCL20","2.348","15.853","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","SLC6A14","3.803","15.333","True"
"Hbe","24h","","GSE10240","MicroArray","HG-U133A_2","SLC26A4","3.610","15.287","False"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","PI3","3.751","15.123","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","IL36G","3.695","14.898","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","LCN2","2.000","14.848","True"
"Su-Dhl2","72h","200pg/mL","GSE115855","MicroArray","GPL13497","GAS7","-2.745","-14.718","False"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","ZC3H12A","2.140","14.449","True"
"Bronchial Airway Smooth Muscle","2h","10ng/mL","GSE35643","MicroArray","HuGene-1_0-st-v1","CXCL1","1.277","14.335","True"
"Hbe","24h","","GSE10240","MicroArray","HG-U133A_2","CSF3","3.375","14.293","False"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","PDZK1IP1","2.103","14.201","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","RHCG","3.516","14.175","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","MMP9","-3.167","-14.128","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","CCL20","3.493","14.084","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","IL36G","4.559","14.007","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","CXCL1","3.121","13.919","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","SLC6A14","3.100","13.827","True"
"Fibroblast","18h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","KIF20A","1.791","13.768","False"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","CXCL8","3.076","13.722","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","NFKBIZ","3.398","13.699","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","SPRR2C","4.345","13.348","True"
