"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","PDGFRA","-3.076","-13.835","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","DCLK1","-2.630","-11.828","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","PDGFRA","-2.234","-11.081","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","SAA3P","2.286","10.282","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","PCDH17","-2.021","-10.022","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","BMX","-2.131","-9.586","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","DCLK1","-1.860","-9.223","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","CXCL8","2.038","9.169","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","ZIC1","-1.841","-9.130","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","CDH19","1.981","8.909","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","SERPINA4","-1.795","-8.901","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","ZNF423","-1.928","-8.671","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","ARMC12","-1.913","-8.605","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","PLEKHH2","1.856","8.346","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","IL36G","1.851","8.328","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","MS4A4A","1.827","8.216","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","CA11","-1.641","-8.136","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","FAM124B","-1.754","-7.888","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","TLCD4","-1.751","-7.875","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","MMP16","-1.573","-7.800","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","NR4A3","1.573","7.799","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","CLDN16","1.720","7.734","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","RPRM","-1.540","-7.638","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","CELF6","1.511","7.492","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","RNF17","1.650","7.420","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","POU5F1P4","-1.456","-7.221","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","CCL20","1.605","7.218","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","LEMD1","-1.447","-7.178","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","ASAP1-IT1","1.440","7.142","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","HOXB5","-1.432","-7.103","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","SLCO2B1","1.551","6.976","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","TNFAIP6","1.403","6.955","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","RAB3C","1.402","6.952","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","RPA4","1.400","6.945","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","CXCL1","1.390","6.893","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","PKNOX2","-1.376","-6.826","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","DKK4","1.372","6.805","False"
"Keratinocyte","24h","500ng/mL","GSE32620","MicroArray","GPL6480","CNGA1","-1.511","-6.796","False"
"Keratinocyte","3h","500ng/mL","GSE32620","MicroArray","GPL6480","FGF17","1.365","6.769","False"
