"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","MYH11","-3.740","-13.845","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","CNN1","-3.002","-11.116","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","GAL","-2.839","-10.512","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","ACTG2","-2.721","-10.072","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","ZG16","-2.562","-9.487","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","SIDT2","-2.418","-8.883","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","GNLY","2.166","8.019","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","ERF","-2.159","-7.931","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","MSMB","-1.758","-7.904","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","ASCL2","1.756","7.894","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","NRARP","-2.126","-7.871","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","CD37","-2.111","-7.816","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","USP5","-2.096","-7.701","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","CCL1","1.654","7.439","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","SLFNL1","1.651","7.425","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","SERPINB2","-1.998","-7.396","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","IL5","1.969","7.232","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","MT2A","1.604","7.213","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","CYP7B1","1.592","7.156","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","SLCO2B1","1.584","7.122","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","TMEM17","1.575","7.083","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","ALDH1A2","1.569","7.056","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","CLEC7A","-1.566","-7.042","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","SNCAIP","-1.810","-6.702","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","ABCC2","-1.804","-6.680","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","LHX8","1.479","6.651","False"
