"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","CISH","2.681","12.366","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","IRF4","2.574","11.874","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","CDK6","2.547","11.748","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","LOC441179","-1.765","-11.698","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","PTGER2","2.527","11.656","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","SOCS2","2.513","11.589","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","CEACAM1","2.446","11.282","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","DACT1","2.417","11.149","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","BCL2","2.416","11.143","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","TAF4B","2.347","10.825","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","TLR1","2.184","10.072","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","KRT1","-2.824","-9.485","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","CISH","2.796","9.390","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","PGAP1","1.992","9.188","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","MB21D2","1.909","8.805","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","AFAP1","1.902","8.772","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","SOCS2","2.566","8.620","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","CCR2","1.860","8.581","False"
