"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","BCL2L14","6.065","34.580","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","EGR1","4.539","32.144","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","FOS","4.381","31.023","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","IRF1","2.814","19.926","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","EGR3","2.649","18.758","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","SOCS3","6.215","16.955","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","SPACA7","-5.536","-15.102","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","DEPP1","5.385","14.690","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","ZFP36","2.062","14.606","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","IL20","2.024","14.330","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","FOXD3","2.513","14.327","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","MX1","5.086","13.874","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","ANGPTL4","4.996","13.628","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","JUNB","1.812","12.833","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","NFKBIZ","1.752","12.404","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","IDO1","4.538","12.381","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","BRPF1","-3.211","-12.208","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","OMD","-2.096","-11.951","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","BATF3","4.263","11.629","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","NFE2","4.214","11.495","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","CRYBA1","2.830","11.384","False"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","BHLHE40","1.604","11.359","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","CCL2","2.336","11.333","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","ANGPT2","-2.759","-11.096","False"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","BATF2","3.967","10.822","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","GADD45B","1.513","10.717","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","CCL7","3.920","10.695","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","IFIT3","3.910","10.665","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","KLF10","1.489","10.545","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","IRF7","3.865","10.544","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","MCM4","2.582","10.386","False"
"Chordoma","","","GSE86036","MicroArray","GPL17692","LBP","2.112","10.243","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","SOCS3","1.418","10.043","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","CABS1","1.758","10.021","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","TTR","-2.618","-9.951","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","APOL2","3.639","9.927","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","TNC","3.631","9.907","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","PRRX1","-2.456","-9.877","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","BNC1","-2.536","-9.641","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","MAFF","1.342","9.505","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","CASP4","-2.363","-9.502","False"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","ADAMTS15","1.666","9.499","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","SP5","-2.347","-9.440","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","SOX17","-2.319","-9.328","False"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","NIPAL4","3.329","9.081","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","IFI30","3.312","9.036","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","VMP1","1.270","8.991","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","IER2","1.260","8.921","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","TUBB3","3.241","8.841","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","RTP4","3.234","8.823","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","AFP","-2.303","-8.757","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","CEBPD","1.236","8.750","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","EEF1A2","1.515","8.641","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","GBP4","3.153","8.601","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","EPOP","3.145","8.581","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","C2CD4A","1.196","8.470","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","SRPX2","-2.104","-8.463","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","MSX1","-2.096","-8.430","False"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","SGK1","3.073","8.383","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","MMP1","-2.079","-8.362","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","FAM71F2","-2.189","-8.320","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","C3orf20","-2.051","-8.250","False"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","CSRNP1","1.155","8.178","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","MGP","-2.025","-8.143","False"
"Chordoma","","","GSE86036","MicroArray","GPL17692","TNFAIP2","1.676","8.131","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","DNAH1","-2.021","-8.128","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","TCL6","2.136","8.120","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","TC2N","1.420","8.099","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","SAA1","2.960","8.076","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","NNMT","2.959","8.073","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","ERFE","1.408","8.026","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","DTHD1","-1.995","-8.025","False"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","EFNA1","1.130","8.002","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","ITGB3","-1.988","-7.995","False"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","OR2F1","1.400","7.985","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","OAF","-1.980","-7.964","False"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","HAPLN3","2.910","7.939","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","SLC39A8","1.388","7.913","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","HRH1","2.899","7.909","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","TEX29","1.381","7.873","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","UBE2U","1.953","7.855","False"
"Chordoma","","","GSE86036","MicroArray","GPL17692","TNFAIP6","1.618","7.848","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","PCDHB15","-2.869","-7.826","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","KRTAP9-4","2.048","7.786","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","KYNU","1.599","7.759","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","NTRK2","-2.040","-7.756","True"
