"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Monocyte","","","GSE123270","MicroArray","GPL10558","HLA-DRB5","6.217","23.600","False"
"Monocyte","","","GSE123573","RNASeq","","SERPINB2","4.549","13.306","False"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","CCL24","-7.274","-12.148","True"
"Monocyte","","","GSE52647","MicroArray","HuGene-1_0-st-v1","FN1","-2.680","-12.037","False"
"Monocyte","","","GSE123270","MicroArray","GPL10558","APOC1","-3.078","-11.684","False"
"Monocyte","","","GSE37356","MicroArray","GPL10558","SPP1","5.341","11.637","False"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","INHBA","-6.855","-11.449","True"
"Monocyte","","","GSE52647","MicroArray","HuGene-1_0-st-v1","RGS2","-2.544","-11.427","False"
"Monocyte","","","GSE37356","MicroArray","GPL10558","APOE","5.087","11.083","False"
"Monocyte","","","GSE9801","MicroArray","HG-U133A","CCL24","-5.563","-10.949","True"
"Monocyte","","","GSE123573","RNASeq","","PPBP","3.723","10.890","False"
"Monocyte","","","GSE37356","MicroArray","GPL10558","APOC1","4.907","10.691","False"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","MS4A4A","6.355","10.613","True"
"Monocyte","4h","","GSE99609","MicroArray","GPL23538","IL6","3.850","10.598","False"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","HCAR3","-6.281","-10.490","True"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","LGMN","6.235","10.414","True"
"Monocyte","4h","","GSE99609","MicroArray","GPL23538","PTGS2","3.753","10.330","False"
"Monocyte","4h","","GSE99609","MicroArray","GPL23538","SERPINB2","3.696","10.174","False"
"Monocyte","","","GSE9801","MicroArray","HG-U133A","MS4A4A","5.151","10.138","True"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","SERPINB2","-6.056","-10.114","True"
"Monocyte","","","GSE37356","MicroArray","GPL10558","FOSB","-4.613","-10.050","False"
"Monocyte","7d","","GSE60199","MicroArray","GPL10558","GPNMB","10.951","10.003","False"
"Monocyte","","","GSE9801","MicroArray","HG-U133A","PPBP","-5.076","-9.990","True"
