"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","ATF3","4.344","20.667","False"
"Hcasmc","","","GSE72696","RNASeq","","NR4A3","7.079","20.588","False"
"Hcasmc","","","GSE72696","RNASeq","","NR4A2","6.832","19.871","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","PTGS2","3.972","18.899","False"
"Hcasmc","","","GSE72696","RNASeq","","NR4A1","6.404","18.627","False"
"Hcasmc","","","GSE72696","RNASeq","","FOSB","6.349","18.467","False"
"Sh-Sy5Y","05h","50ng/mL","GSE7403","MicroArray","HG-U133A","EGR1","3.287","16.701","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","MAP3K8","3.458","16.453","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","EGR3","3.331","15.850","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","NR4A3","3.267","15.543","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","NFIL3","3.250","15.466","False"
"Hcasmc","","","GSE72696","RNASeq","","DUSP1","5.174","15.048","False"
"Hcasmc","","","GSE72696","RNASeq","","EGR3","5.146","14.966","False"
"Epithelial","","50ng/mL","E-MTAB-2091","MicroArray","HG-U133_Plus_2","BPIFA1","-2.564","-14.499","False"
"Hcasmc","","","GSE72696","RNASeq","","LIF","4.955","14.410","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","IRF1","2.991","14.231","False"
"Hcasmc","","","GSE72696","RNASeq","","IL11","4.738","13.779","False"
"Hepatic Stellate","2h","20ng/mL","GSE119606","RNASeq","","IL11","4.175","13.679","False"
"Hcasmc","","","GSE72696","RNASeq","","DUSP5","4.595","13.363","False"
"Hcasmc","","","GSE72696","RNASeq","","EGR1","4.575","13.306","False"
"Hcasmc","","","GSE72696","RNASeq","","ATF3","4.557","13.255","False"
"Hcasmc","","","GSE72696","RNASeq","","RHOB","4.554","13.247","False"
"Hepatic Stellate","2h","20ng/mL","GSE119606","RNASeq","","HBEGF","4.000","13.104","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","NR4A2","2.741","13.041","False"
"Hcasmc","","","GSE72696","RNASeq","","ADAMTS4","4.412","12.832","False"
"Sh-Sy5Y","05h","50ng/mL","GSE7403","MicroArray","HG-U133A","FOS","2.526","12.830","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","HES1","2.670","12.702","False"
"Hcasmc","","","GSE72696","RNASeq","","ZNF331","4.361","12.683","False"
"Hepatic Stellate","2h","20ng/mL","GSE119606","RNASeq","","STC1","3.854","12.627","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","JUNB","2.633","12.529","False"
"Hcasmc","","","GSE72696","RNASeq","","CSRNP1","4.196","12.205","False"
"Hcasmc","","","GSE72696","RNASeq","","GEM","4.165","12.115","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","ID3","2.543","12.102","False"
"Hcasmc","","","GSE72696","RNASeq","","STC1","4.108","11.949","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","KLF2","2.470","11.754","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","CISH","2.469","11.746","False"
"Hcasmc","","","GSE72696","RNASeq","","HBEGF","3.937","11.450","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","ID1","2.395","11.394","False"
"Hcasmc","","","GSE72696","RNASeq","","IL1A","3.911","11.374","False"
"Newborn Foreskin Fibroblasts Immortalized With Htert","24h","20ng/mL","GSE40720","MicroArray","GPL6947","STC1","2.184","11.374","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","BHLHE40","2.360","11.230","False"
"Hcasmc","","","GSE72696","RNASeq","","PTGS2","3.843","11.177","False"
"Hcasmc","","","GSE72696","RNASeq","","HAS1","3.701","10.765","False"
"Newborn Foreskin Fibroblasts Immortalized With Htert","24h","20ng/mL","GSE40720","MicroArray","GPL6947","IL13RA2","2.057","10.711","False"
"Hcasmc","","","GSE72696","RNASeq","","JUNB","3.648","10.611","False"
"Hcasmc","","","GSE72696","RNASeq","","FOS","3.628","10.551","False"
"Sh-Sy5Y","05h","50ng/mL","GSE7403","MicroArray","HG-U133A","IER2","2.060","10.466","False"
"Hcasmc","","","GSE72696","RNASeq","","C11orf96","3.479","10.118","False"
"Hcasmc","","","GSE72696","RNASeq","","HES1","3.438","10.000","False"
"Epithelial","","50ng/mL","E-MTAB-2091","MicroArray","HG-U133_Plus_2","LRRK2","-1.749","-9.887","False"
"Hepatic Stellate","2h","20ng/mL","GSE119606","RNASeq","","LIF","3.017","9.884","False"
"Hcasmc","","","GSE72696","RNASeq","","AREG","3.396","9.876","False"
"Hcasmc","","","GSE72696","RNASeq","","FOSL1","3.378","9.826","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","DUSP5","2.046","9.735","False"
"Ag01518 Forskin Fibroblast","1h","","GSE14256","MicroArray","HG-U133A_2","HBEGF","2.045","9.728","False"
"Newborn Foreskin Fibroblasts Immortalized With Htert","24h","20ng/mL","GSE40720","MicroArray","GPL6947","TMEM158","1.865","9.713","False"
