"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","GADD45B","3.755","28.883","True"
"Foreskin Fibroblasts_Without Pcm","","","GSE16416","MicroArray","HG-U133_Plus_2","EGR2","6.290","25.058","True"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","HES1","3.171","24.386","True"
"Primary Fibroblasts From Neonatal Foreskin","24h","","GSE27165","MicroArray","GPL6104","KISS1R","1.602","23.340","False"
"Bm Msc Early","1h","1ng/mL","GSE46019","MicroArray","HuGene-1_0-st-v1","HES1","2.768","22.997","True"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","PTGS2","-2.937","-22.591","True"
"Primary Fibroblasts From Neonatal Foreskin","24h","","GSE27165","MicroArray","GPL6104","SLCO2A1","1.530","22.301","False"
"Fs Fibroblast","24h","10ng/mL","GSE79621","MicroArray","GPL10558","COMP","4.075","22.120","False"
"Mcf10Ca1A.Cl1","1h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","SERPINE1","3.046","22.020","True"
"Mcf10Ca1H","1h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","SERPINE1","3.165","21.833","True"
"Cd34+ Progenitors","6h","","GSE31318","MicroArray","HG-U133_Plus_2","OLR1","4.657","21.672","True"
"Mcf10At1K.Cl2","1h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","ID1","3.682","21.648","True"
"Hacat","2h","","E-MTAB-265","MicroArray","log_rsn_normalized","VASN","5.395","21.408","True"
"Hepg2","2h","","GSE45945","MicroArray","HuGene-1_0-st-v1","RND1","2.823","21.402","True"
"Dermal Fibroblast","2h","","GSE12493","MicroArray","GPL6848","ID1","-5.190","-21.387","False"
"Hacat","2h","","E-MTAB-265","MicroArray","log_rsn_normalized","SERPINE1","5.311","21.074","True"
"Cd34+ Progenitors","24h","","GSE31318","MicroArray","HG-U133_Plus_2","OLR1","5.828","20.885","False"
"Mcf10A1","1h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","ID1","3.351","20.834","True"
"Macrophage Il4 Dex","3h","","GSE7568","MicroArray","HG-U133_Plus_2","OLR1","5.150","20.702","True"
"Hepg2","2h","","GSE45945","MicroArray","HuGene-1_0-st-v1","JUNB","2.679","20.305","True"
"Macrophage Il4 Dex","24h","","GSE7568","MicroArray","HG-U133_Plus_2","P2RY14","-7.647","-20.266","False"
"Primary Normal Colon Mucosa-Derived Fibroblast","8h","","GSE39394","MicroArray","HG-U133_Plus_2","ODAPH","5.330","20.126","True"
"Mcf10At1K.Cl2","1h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","ID3","3.290","19.342","True"
"Dermal Fibroblast","2h","","GSE137107","MicroArray","HuGene-2_0-st","FOSB","5.606","19.298","True"
"Hacat","2h","100pM","E-TABM-420","MicroArray","E-TABM-420-processed-data-1627283100","HCAR3","4.068","19.041","True"
"Macrophage Il4 Dex","24h","","GSE7568","MicroArray","HG-U133_Plus_2","OLR1","7.174","19.013","False"
"T Cd4","6h","","GSE94396","RNASeq","","CTSL","3.919","18.840","True"
"Mcf10A1","6h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","MMP13","4.209","18.826","True"
"Mcf10Ca1A.Cl1","6h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","SERPINE1","4.180","18.695","True"
"Hmsc","1d","","GSE84500","MicroArray","HG-U133_Plus_2","KANK4","4.843","18.615","True"
"Mcf7","4d","","GSE101809","MicroArray","HTA-2_0","LAMC2","2.744","18.594","True"
"Foreskin Fibroblasts_With Pcm","","","GSE16416","MicroArray","HG-U133_Plus_2","EGR2","5.038","18.500","True"
"Hacat","4h","","E-MTAB-265","MicroArray","log_rsn_normalized","SERPINE1","5.156","18.452","True"
"A549","1h","","GSE17708","MicroArray","HG-U133_Plus_2","SERPINE1","3.940","18.413","True"
"A549","2h","","GSE17708","MicroArray","HG-U133_Plus_2","SERPINE1","5.092","18.314","True"
"Mcf10A","","","GSE8240","MicroArray","HT_HG-U133A","KRT15","-3.090","-18.275","True"
"Macrophage Il4 Dex","3h","","GSE7568","MicroArray","HG-U133_Plus_2","RGS1","4.533","18.221","True"
"Macrophage Il4 Dex","3h","","GSE7568","MicroArray","HG-U133_Plus_2","ID3","4.517","18.157","True"
"T Cd4","6h","","GSE94396","RNASeq","","RGS16","3.745","18.003","True"
"Bm Msc Early","1h","1ng/mL","GSE46019","MicroArray","HuGene-1_0-st-v1","GADD45B","2.160","17.946","True"
"Mcf10A","","","GSE8240","MicroArray","HT_HG-U133A","FN1","3.031","17.925","True"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","BHLHE40","2.329","17.911","True"
"Mcf10Ca1A.Cl1","1h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","ID1","2.476","17.896","True"
"Th1","","3ng/mL","GSE2770","MicroArray","HG-U133A","ATP1B1","2.106","17.805","True"
"Bm Msc Late","1h","1ng/mL","GSE46019","MicroArray","HuGene-1_0-st-v1","HES1","2.277","17.780","True"
"Cd34+ Progenitors","24h","","GSE31318","MicroArray","HG-U133_Plus_2","C3","4.926","17.651","False"
"Microglia","","","GSE76734","MicroArray","HuGene-2_0-st","FCER2","5.787","17.591","False"
"Hmsc","2d","","GSE84500","MicroArray","HG-U133_Plus_2","KANK4","5.453","17.469","False"
"Th2","","3ng/mL","GSE2770","MicroArray","HG-U133A","ATP1B1","2.218","17.463","True"
"Macrophage Il4","24h","","GSE7568","MicroArray","HG-U133_Plus_2","ID3","2.560","17.427","False"
"T Cd4","2d","","GSE94396","RNASeq","","CTSL","6.431","17.384","False"
"Bronchial Epithelial Cells+Estrogen","","5ng/mL","GSE100574","RNASeq","","SERPINE1","6.493","17.298","True"
"Mcf10A","","","GSE8240","MicroArray","HT_HG-U133A","POSTN","2.896","17.125","True"
"Mcf10A1","1h","5ng/mL","GSE34270","MicroArray","HuGene-1_0-st-v1","CYP24A1","2.736","17.011","True"
"Hepg2","1h","","GSE45945","MicroArray","HuGene-1_0-st-v1","JUNB","1.666","16.995","True"
"Bronchial Epithelial","","5ng/mL","GSE100574","RNASeq","","SERPINE1","6.455","16.933","True"
"Hepg2","1h","","GSE45945","MicroArray","HuGene-1_0-st-v1","RND1","1.657","16.898","True"
"Rptec","24h","10ng/mL","GSE118337","MicroArray","GPL13497","CSF2","3.503","16.890","True"
"Hepg2","1h","","GSE45945","MicroArray","HuGene-1_0-st-v1","SMAD7","1.653","16.858","True"
"Hepg2","2h","","GSE45945","MicroArray","HuGene-1_0-st-v1","DLX2","2.216","16.799","True"
"Mcf10A","1d","","GSE89152","RNASeq","","SERPINE1","6.005","16.667","True"
"A549","1h","","GSE17708","MicroArray","HG-U133_Plus_2","HES1","3.564","16.657","True"
"Dermal Fibroblast","2h","","GSE12493","MicroArray","GPL6848","IER3","-4.033","-16.619","False"
"Hepg2","1h","","GSE45945","MicroArray","HuGene-1_0-st-v1","ZFP36","1.626","16.588","True"
