"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","CXCL6","-5.644","-12.556","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","ID3","3.797","12.487","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","COMP","5.514","12.268","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","ADH1A","-3.635","-11.952","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","CXCL1","-5.357","-11.917","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","IL33","-5.147","-11.452","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","IL24","-5.145","-11.445","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","SERPINB2","-4.841","-10.769","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","ANXA10","-4.834","-10.755","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","CXCL8","-4.728","-10.519","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","PMEPA1","4.672","9.963","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","GDF6","4.668","9.956","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","SERPINE1","3.004","9.878","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","KRTAP1-5","-4.629","-9.872","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","MMP1","-4.402","-9.793","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","IER3","2.962","9.741","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","CEMIP","-2.915","-9.587","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","PLN","4.300","9.566","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","MAMDC2","2.895","9.520","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","EGR2","4.379","9.339","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","SERPIND1","-4.137","-9.203","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","MFAP4","4.054","9.019","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","ACTG2","2.735","8.993","False"
"Coronary Artery Endothelial","","","GSE96089","MicroArray","GPL16699","DYDC1","-1.691","-8.774","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","BMP2","-3.914","-8.707","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","HSD11B1","-3.896","-8.667","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","NREP","2.632","8.654","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","FAM71C","3.994","8.519","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","CRLF1","3.795","8.442","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","ADAMTS1","-3.688","-8.205","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","LRRC32","3.687","8.202","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","SLCO2A1","3.672","8.170","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","IL11","2.465","8.106","False"
"Coronary Artery Endothelial","","","GSE96089","MicroArray","GPL16699","FOS","-1.532","-7.950","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","AKR1C3","-2.408","-7.917","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","TSPAN8","-3.552","-7.903","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","ASS1","3.548","7.894","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","KANK4","2.395","7.876","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","DHRS2","3.684","7.857","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","CILP","3.502","7.792","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","LRRN4CL","-3.485","-7.754","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","ACTC1","2.327","7.653","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","CPA3","-3.587","-7.650","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","RASGRP1","3.437","7.646","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","CEMIP2","2.319","7.627","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","OPCML","3.427","7.624","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","RAB7B","-2.316","-7.614","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","CAVIN2","-2.313","-7.606","False"
"Coronary Artery Endothelial","","","GSE96089","MicroArray","GPL16699","MYB","-1.463","-7.590","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","CAVIN2","-3.559","-7.590","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","MYOZ1","3.403","7.572","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","CHRM3","-3.540","-7.550","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","FAM43A","-2.275","-7.480","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","PSAT1","3.354","7.461","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","RRM2","-3.351","-7.456","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","ADM","-2.259","-7.428","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","ITGA4","3.327","7.401","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","FGFBP1","-3.466","-7.392","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","CTPS1","2.247","7.389","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","FBXO32","3.316","7.378","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","ANKRD1","3.309","7.361","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","SERPINB4","-3.420","-7.294","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","COL4A1","2.216","7.285","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","CDH10","-3.394","-7.239","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","ODAPH","3.378","7.203","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","CCL2","-2.188","-7.194","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","CNN1","2.188","7.194","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","SLC7A14","-3.361","-7.169","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","C3","-3.220","-7.163","False"
"Coronary Artery Endothelial","","","GSE96089","MicroArray","GPL16699","HYDIN","-1.371","-7.114","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","ADAMTSL2","3.335","7.113","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","SUSD3","-3.333","-7.108","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","IL17B","3.326","7.094","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","CDH2","2.153","7.078","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","CCL2","-3.172","-7.056","False"
"Coronary Artery Endothelial","","","GSE96089","MicroArray","GPL16699","HP","-1.353","-7.021","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","TPM1","2.135","7.021","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","LRRC15","3.277","6.989","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","FSTL3","2.110","6.937","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","ANGPTL2","-2.107","-6.930","False"
"Fibroblast","24h","","E-MTAB-4871","MicroArray","exprs","BMP6","2.107","6.928","False"
"Hle B3","","","GSE98225","MicroArray","GPL21047","NFE2","-3.248","-6.928","False"
"Normal Ovarian Fibroblast","48h","5ng/mLof","GSE40266","MicroArray","HG-U133_Plus_2","SLC43A3","-3.097","-6.890","False"
