"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"H358 Lung","8h","285U/mL","GSE125365","RNASeq","","TGFB1","2.088","24.321","False"
"H358 Lung","6h","285U/mL","GSE125365","RNASeq","","TGFB1","1.972","23.469","False"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","LTB","-1.929","-21.489","True"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","CLIC3","1.226","16.636","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","RGS1","1.169","16.187","True"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","RGS1","1.179","16.002","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","PLAC8","-1.294","-15.776","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","SPARCL1","8.285","15.439","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","MMP12","-6.368","-15.249","False"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","PLAC8","-1.338","-14.903","True"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CXCL13","1.223","14.846","True"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","RGS1","1.221","14.831","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","ADA","1.312","14.614","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","CXCL9","-6.043","-14.471","False"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CXCR4","1.294","14.426","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","SPSB1","1.032","14.281","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","CXCR4","1.023","14.163","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","RGS1","1.257","13.999","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","SERPINE1","3.743","13.983","True"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CXCR4","1.147","13.925","True"
"B","14d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CXCR4","1.395","13.550","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","PLAC8","-1.206","-13.453","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","SERPINE1","4.049","13.265","True"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","CXCR4","0.970","13.162","True"
"B","12h","2.5ng/mL","GSE120367","MicroArray","GPL10558","RGS1","1.107","12.991","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","CXCR4","1.165","12.979","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","LMO2","-1.141","-12.707","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","DPT","6.785","12.644","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","BCAR3","0.902","12.495","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","DERL3","1.012","12.335","True"
"H358 Lung","1h","285U/mL","GSE125365","RNASeq","","SNORD89","-0.974","-12.335","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CXCL13","1.087","12.121","True"
"B","12h","2.5ng/mL","GSE120367","MicroArray","GPL10558","CLIC3","1.030","12.085","True"
"H358 Lung","2h","285U/mL","GSE125365","RNASeq","","TGFB1","0.958","11.797","False"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","COL10A1","4.868","11.657","False"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","IGFBP3","3.549","11.626","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","CXCL10","-4.837","-11.583","False"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","TCL1A","-1.011","-11.260","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","ALDH3A1","-6.451","-11.257","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","RGS1","0.998","11.131","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","KANK4","3.390","11.106","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","PMEPA1","3.375","11.057","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","PDGFB","2.951","11.023","True"
"H358 Lung","8h","285U/mL","GSE125365","RNASeq","","PER3","0.944","10.996","False"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","PLAC8","-0.900","-10.924","True"
