"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Huvec","1h","","GSE27870","MicroArray","GPL4044","CXCL2","185.448","56.139","True"
"Huvec","1.5h","","GSE27870","MicroArray","GPL4044","CXCL8","215.254","53.910","True"
"Huvec","4h","","GSE27870","MicroArray","GPL4044","CXCL8","186.751","49.518","True"
"Huvec","3h","","GSE27870","MicroArray","GPL4044","CXCL8","185.273","47.735","True"
"Huvec","2h","","GSE27870","MicroArray","GPL4044","CXCL8","139.896","39.857","True"
"Huvec","1h","","GSE27870","MicroArray","GPL4044","CXCL8","129.268","39.132","True"
"Huvec","1.5h","","GSE27870","MicroArray","GPL4044","CXCL2","145.943","36.551","True"
"Mcf7","2h","10ng/mL","GSE11467","MicroArray","HG-U133A","NFKBIA","3.838","35.972","True"
"Huvec","2h","","GSE27870","MicroArray","GPL4044","RPS12","-124.672","-35.520","True"
"Huvec","3h","","GSE27870","MicroArray","GPL4044","SELE","132.156","34.050","True"
"Mcf7","2h","10ng/mL","GSE11467","MicroArray","HG-U133A","CCL2","3.616","33.887","True"
"Huvec","5h","","GSE27870","MicroArray","GPL4044","CXCL8","119.394","33.632","True"
"Gingival Fibroblast","1h","","GSE13903","MicroArray","GPL7768","CXCL1","-5.727","-33.110","False"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","CXCL3","7.757","33.019","True"
"Huvec","4h","","GSE27870","MicroArray","GPL4044","VIM","124.496","33.011","True"
"Mcf7","2h","10ng/mL","GSE11467","MicroArray","HG-U133A","EFNA1","3.484","32.648","True"
"Huvec","4h","","GSE27870","MicroArray","GPL4044","SELE","121.140","32.121","True"
"Mcf7","2h","10ng/mL","GSE11467","MicroArray","HG-U133A","IER3","3.403","31.888","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","IER3","4.432","31.181","True"
"Huvec","6h","","GSE27870","MicroArray","GPL4044","RPL41","139.447","31.058","True"
"Hela","1h","","GSE116284","RNASeq","","CXCL8","8.080","30.625","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","CXCL1","4.280","30.115","True"
"Cem","","","GSE46599","MicroArray","GPL10558","MX1","9.355","30.035","True"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","CXCL8","6.935","29.520","True"
"Huvec","6h","","GSE27870","MicroArray","GPL4044","CXCL8","132.532","29.518","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","TNFAIP3","4.174","29.365","True"
"Huvec","1.5h","","GSE27870","MicroArray","GPL4044","VIM","116.895","29.276","True"
"Hek293","","","GSE28548","MicroArray","HG-U133_Plus_2","CCL20","6.286","29.042","True"
"Huvec","2h","","GSE27870","MicroArray","GPL4044","SELE","101.562","28.936","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","TNFAIP6","4.096","28.820","True"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","CCL20","6.757","28.762","True"
"Hek293+Dmso","30m","10ng/mL","GSE101626","MicroArray","GPL14550","CXCL1","5.725","28.355","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","CXCL2","4.017","28.265","True"
"Hek293","","","GSE28548","MicroArray","HG-U133_Plus_2","CXCL10","6.112","28.238","True"
"Sgbs Adiposytes","90m","10ng/mL","GSE60462","RNASeq","","TNFAIP6","5.511","27.655","True"
"Gingival Fibroblast","1h","","GSE13903","MicroArray","GPL7768","TNFAIP3","-4.755","-27.490","False"
"Jurkat","","","GSE46599","MicroArray","GPL10558","IFI44L","8.681","26.952","True"
"Hek293+Dmso","2h","10ng/mL","GSE101629","RNASeq","","IER3","3.770","26.952","True"
"Huvec","6h","","GSE27870","MicroArray","GPL4044","VIM","120.809","26.907","True"
"U87-Mg","","","GSE46599","MicroArray","GPL10558","IFI27","9.216","26.773","True"
"Caco2","2h","100ng/mL","GSE130226","RNASeq","","CXCL10","3.618","26.663","True"
"Hek293+Dmso","2h","10ng/mL","GSE101629","RNASeq","","CXCL1","3.717","26.575","True"
"Jurkat","","","GSE46599","MicroArray","GPL10558","MX1","8.516","26.439","True"
"Huvec","1h","","GSE27870","MicroArray","GPL4044","VIM","87.203","26.398","True"
"Huvec","1h","","GSE27870","MicroArray","GPL4044","EEF1A1","86.627","26.224","True"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","CXCL1","6.119","26.044","True"
"Sgbs Adiposytes","90m","10ng/mL","GSE60462","RNASeq","","CCL20","5.166","25.926","True"
"Detroit562","","","GSE91019","RNASeq","","CXCL8","3.521","25.877","True"
"Huvec","2h","","GSE27870","MicroArray","GPL4044","HSPA8","-90.584","-25.808","True"
"Huvec","5h","","GSE27870","MicroArray","GPL4044","HSPA8","-91.201","-25.690","True"
"Huvec","3h","","GSE27870","MicroArray","GPL4044","RPL32","-99.372","-25.603","True"
"Cem","","","GSE46599","MicroArray","GPL10558","IFI44L","7.971","25.590","True"
"2D10 Jurkat T","6h","","GSE109460","RNASeq","","MSRB1","3.684","25.548","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","CXCL3","3.629","25.531","True"
"Huvec","6h","","GSE27870","MicroArray","GPL4044","SERPINE1","114.222","25.440","True"
"Thp1","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","CCL20","6.345","25.423","True"
"Hela","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","PTX3","6.643","25.198","True"
"Mcf7","90m","","GSE37139","MicroArray","HuGene-1_0-st-v1","TNFAIP3","4.208","25.042","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","NFKBIA","3.550","24.979","True"
"Cem-Ss","","","GSE46599","MicroArray","GPL10558","IFI44L","7.659","24.752","True"
"Huvec","1.5h","","GSE27870","MicroArray","GPL4044","EEF1A1","98.642","24.705","True"
"Gingival Fibroblast","1h","","GSE13903","MicroArray","GPL7768","NFKBIA","-4.265","-24.659","False"
"Caco2","2h","100ng/mL","GSE130226","RNASeq","","TNFAIP3","3.338","24.597","True"
"Huvec","6h","","GSE27870","MicroArray","GPL4044","ANXA2","110.298","24.566","True"
"Hela","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","CXCL8","6.470","24.541","True"
"Hela","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","CCL20","6.440","24.427","True"
"Huvec","4h","","GSE27870","MicroArray","GPL4044","SERPINE1","91.363","24.226","True"
"Thp1","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","CXCL8","6.045","24.222","True"
"Huvec","3h","","GSE27870","MicroArray","GPL4044","RPL34","93.631","24.124","True"
"Primary T Cd4","","","GSE46599","MicroArray","GPL10558","IFIT1","7.646","24.075","True"
"Caco2","2h","100ng/mL","GSE130226","RNASeq","","NFKBIA","3.254","23.978","True"
"Hek293","","","GSE28548","MicroArray","HG-U133_Plus_2","CD69","5.184","23.952","True"
"A549","","","GSE32254","MicroArray","HuGene-1_0-st-v1","CCL5","4.537","23.951","True"
"Hct116+Dmso","2h","10ng/mL","GSE101628","RNASeq","","BIRC3","5.112","23.934","True"
"Hct116","","","GSE28115","RNASeq","","CXCL8","6.262","23.909","True"
"Nhbe","2h","100ng/mL","E-MTAB-1312","MicroArray","HG-U133_Plus_2","PTX3","5.127","23.801","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","CCL20","3.378","23.765","True"
"Huvec","2h","","GSE27870","MicroArray","GPL4044","CXCL2","82.934","23.629","True"
"Hek293","","","GSE28548","MicroArray","HG-U133_Plus_2","CXCL1","5.103","23.576","True"
"Hek293+Dmso","30m","10ng/mL","GSE101626","MicroArray","GPL14550","CXCL2","4.736","23.460","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","UBD","4.750","23.440","True"
"Sgbs Adiposytes","90m","10ng/mL","GSE60462","RNASeq","","TNFAIP3","4.661","23.393","True"
"Hct116+Dmso","2h","10ng/mL","GSE101628","RNASeq","","CXCL8","4.994","23.379","True"
"2D10 Jurkat T","6h","","GSE109460","RNASeq","","RELB","3.361","23.307","True"
"Bronchial Epithelial Beas-B2","","","GSE16650","MicroArray","HG-U133_Plus_2","CXCL8","4.628","23.196","True"
"Hct116+Snxb","2h","10ng/mL","GSE101628","RNASeq","","BIRC3","4.549","23.147","True"
"Placental Cytotrophoblast","24h","10ng/mL","GSE43685","MicroArray","HG-U133_Plus_2","C3","2.902","23.124","True"
"Hepg2","14h","","GSE54254","MicroArray","HT_HG-U133_Plus_PM","CYP1A1","-4.147","-23.118","True"
"Mcf7","90m","","GSE37139","MicroArray","HuGene-1_0-st-v1","TNF","3.859","22.966","True"
"Huvec","5h","2ng/mL","GSE2639","MicroArray","HG-U133A","VCAM1","5.473","22.951","True"
"Nhbe","2h","10ng/mL","E-MTAB-1312","MicroArray","HG-U133_Plus_2","PTX3","4.705","22.913","True"
"Vascular Endothelial","","","GSE115311","RNASeq","","CXCL8","6.129","22.903","True"
"Caco2","2h","100ng/mL","GSE130226","RNASeq","","CXCL1","3.108","22.901","True"
"Thp1","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","IL1B","5.713","22.890","True"
"Nhbe","2h","30ng/mL","E-MTAB-1312","MicroArray","HG-U133_Plus_2","PTX3","4.790","22.857","True"
"Thp1","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","TNFAIP6","5.692","22.808","True"
"Mcf7","90m","","GSE37139","MicroArray","HuGene-1_0-st-v1","ICAM1","3.831","22.799","True"
"Caco2","2h","100ng/mL","GSE130226","RNASeq","","CXCL2","3.078","22.683","True"
"Synovial Fibroblast","1h","","GSE13837","MicroArray","HG-U133_Plus_2","TNFAIP3","5.315","22.622","True"
"Gingival Fibroblast","1h","","GSE13903","MicroArray","GPL7768","CXCL3","-3.901","-22.556","False"
"Mda-Mb468_Without Apigenin","","40ng/mL","GSE133968","MicroArray","GPL17692","CCL2","5.912","22.553","True"
"Mcf7","20m","","GSE37139","MicroArray","HuGene-1_0-st-v1","CYP1A1","-2.954","-22.463","False"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","ICAM1","4.544","22.426","True"
"Huvec","1h","","GSE27870","MicroArray","GPL4044","KLF6","73.956","22.388","True"
"Thp1","","","GSE46599","MicroArray","GPL10558","IFI27","9.001","22.376","True"
"Hek293+Dmso","2h","10ng/mL","GSE101629","RNASeq","","NFKBIA","3.125","22.343","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","TNFAIP2","4.508","22.249","True"
"Cem-Ss","","","GSE46599","MicroArray","GPL10558","IFI27","6.877","22.226","True"
"Endothelium","","","GSE53999","MicroArray","GPL16043","VCAM1","7.689","22.203","True"
"Small Airway Epithelial","1h","","GSE61220","RNASeq","","TNFAIP3","5.109","22.183","True"
"Vk2/E6E7.Vaginal Epithelial","","40ng/mL","GSE68182","MicroArray","HG-U133_Plus_2","CXCL11","4.996","22.136","True"
"Synovial Fibroblast","2h","","GSE13837","MicroArray","HG-U133_Plus_2","CXCL8","7.057","22.116","True"
"Detroit562","","","GSE91019","RNASeq","","CSF2","3.008","22.107","True"
"Caco2","2h","100ng/mL","GSE130226","RNASeq","","CXCL8","2.997","22.082","True"
"Hek293 Delta-Raf1:Er","1h","","GSE97979","RNASeq","","TNFAIP3","4.280","22.018","True"
"Colon Adenocarcinoma Cell Line Ht29","","","GSE108621","RNASeq","","CXCL8","5.431","21.967","True"
"Hek293","","","GSE28548","MicroArray","HG-U133_Plus_2","CCL2","4.743","21.913","True"
"Small Airway Epithelial","1h","","GSE61220","RNASeq","","PTX3","5.045","21.903","True"
"Neutrophil","1h","10ng/mL","GSE40548","RNASeq","","CCL4","6.281","21.899","True"
"Hek293 Delta-Raf1:Er","1h","","GSE97979","RNASeq","","NFKBIA","4.227","21.742","True"
"Endocrine Tumor","","","GSE64250","MicroArray","HuGene-1_1-st-v1","IL32","3.968","21.570","True"
"Bronchus Epithelial","2h","100ng/mL","E-MTAB-1027","MicroArray","HG-U133_Plus_2","PTX3","3.874","21.516","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","TNFAIP2","3.057","21.510","True"
"Small Airway Epithelial","1h","","GSE61220","RNASeq","","TNFAIP6","4.948","21.483","True"
"Synovial Fibroblast","2h","","GSE13837","MicroArray","HG-U133_Plus_2","CCL20","6.854","21.480","True"
"Endothelium","","","GSE53999","MicroArray","GPL16043","SELE","7.410","21.398","True"
"Caco2","2h","100ng/mL","GSE130226","RNASeq","","CXCL3","2.902","21.387","True"
"Vascular Endothelial","","","GSE115311","RNASeq","","ICAM1","5.714","21.352","True"
"Hepg2","14h","","GSE54254","MicroArray","HT_HG-U133_Plus_PM","CXCL8","3.828","21.337","True"
"Cultured Dermal Fibroblast","","","GSE98624","RNASeq","","CXCL8","8.353","21.289","True"
"Huvec","1h","","GSE27870","MicroArray","GPL4044","RPL10A","70.204","21.252","True"
"Adalimumab Therapy_Blood","3h","10ng/mL","E-MTAB-5094","MicroArray","Transformed_Loess_Normalised_Data","SPACA7","4.994","21.246","True"
"Huvec","3h","","GSE27870","MicroArray","GPL4044","VIM","82.437","21.240","True"
"Hct116+Snxb","2h","10ng/mL","GSE101628","RNASeq","","CXCL8","4.164","21.188","True"
"Vascular Endothelial","","","GSE115311","RNASeq","","CCL2","5.660","21.150","True"
"Nhbe","0.5h","30ng/mL","E-MTAB-1312","MicroArray","HG-U133_Plus_2","CXCL2","2.936","21.107","True"
"Huvec","3h","","GSE27870","MicroArray","GPL4044","HSPA8","-81.885","-21.097","True"
"Umbilical Cord","","","GSE82036","MicroArray","GPL10558","CX3CL1","6.208","21.059","True"
"Vk2/E6E7.Vaginal Epithelial","","40ng/mL","GSE68182","MicroArray","HG-U133_Plus_2","OLR1","4.748","21.037","True"
"Nhbe","4h","100ng/mL","E-MTAB-1312","MicroArray","HG-U133_Plus_2","CXCL10","4.430","20.935","True"
"Endothelium","","","GSE53999","MicroArray","GPL16043","CCL20","7.220","20.849","True"
"Thp1","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","PTX3","5.178","20.749","True"
"Neutrophil","1h","10ng/mL","GSE40548","RNASeq","","IL1A","5.940","20.710","True"
"Hek293+Dmso","2h","10ng/mL","GSE101629","RNASeq","","RELB","2.889","20.657","True"
"Sgbs Adiposytes","90m","10ng/mL","GSE60462","RNASeq","","CXCL1","4.110","20.626","True"
"Umblical Vein Endothelial","","","GSE121958","RNASeq","","SELE","10.003","20.501","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","IRF1","2.911","20.484","True"
"Huvec","5h","2ng/mL","GSE2639","MicroArray","HG-U133A","SELE","4.875","20.441","True"
"Caco2","2h","100ng/mL","GSE130226","RNASeq","","CCL20","2.773","20.433","True"
"U87-Mg","","","GSE46599","MicroArray","GPL10558","IFITM1","7.028","20.418","True"
"Small Airway Epithelial","1h","","GSE61220","RNASeq","","CSF2","4.694","20.382","True"
"Nhbe","4h","30ng/mL","E-MTAB-1312","MicroArray","HG-U133_Plus_2","CXCL10","4.134","20.353","True"
"Sgbs Adiposytes","90m","10ng/mL","GSE60462","RNASeq","","CXCL8","4.046","20.307","True"
"Adalimumab Therapy_Blood","3h","10ng/mL","E-MTAB-5094","MicroArray","Transformed_Loess_Normalised_Data","IDI2-AS1","4.769","20.290","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","NFKBIE","2.880","20.264","True"
"Bronchus Epithelial","0.5h","10ng/mL","E-MTAB-1027","MicroArray","HG-U133_Plus_2","CXCL2","2.565","20.249","True"
"Hek293","","","GSE28548","MicroArray","HG-U133_Plus_2","TNF","4.377","20.224","True"
"Vk2/E6E7.Vaginal Epithelial","","40ng/mL","GSE68182","MicroArray","HG-U133_Plus_2","CXCL10","4.559","20.199","True"
"Thp1","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","TNFAIP3","5.036","20.178","True"
"Thp1","2h","10ng/mL","GSE26868","MicroArray","HG-U133_Plus_2","KCNJ2","5.016","20.100","True"
"Nhbe","4h","10ng/mL","E-MTAB-1312","MicroArray","HG-U133_Plus_2","CCL20","3.803","20.090","True"
"Sgbs Adipocyte","","","GSE64233","RNASeq","","GEM","2.854","20.080","True"
"Umbilical Cord","","","GSE82036","MicroArray","GPL10558","VCAM1","5.911","20.050","True"
"Small Airway Epithelial","1h","","GSE61220","RNASeq","","CCL20","4.616","20.041","True"
"Nhbe","0.5h","10ng/mL","E-MTAB-1312","MicroArray","HG-U133_Plus_2","CXCL2","2.918","19.990","True"
"Ht1080","","","GSE46599","MicroArray","GPL10558","IFI6","5.879","19.972","True"
