"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","CXCL1","3.728","23.094","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","CXCL8","2.433","15.073","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","CXCL2","1.395","8.639","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","PIWIL4","5.399","8.407","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","CCL2","1.301","8.062","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","NEK7","-1.061","-6.575","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","CDK5RAP2","-4.222","-6.574","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","WWTR1","-1.003","-6.211","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","IL6","0.975","6.041","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","ZNF789","-0.972","-6.022","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","RASA2","-0.966","-5.982","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","CAMK1G","-0.965","-5.978","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","KCNS1","3.797","5.912","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","MT1H","3.795","5.910","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","PELI1","-0.944","-5.849","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","SFT2D3","-0.933","-5.777","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","BIRC3","0.930","5.761","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","ANO10","-3.533","-5.502","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","FUT7","-3.494","-5.440","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","NOMO3","-0.871","-5.395","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","FAM83D","-0.870","-5.391","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","CA4","-3.430","-5.342","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","ZSCAN16","3.391","5.280","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","CYP26B1","-3.383","-5.268","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","SNHG10","0.848","5.251","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","WIF1","0.840","5.204","True"
"Whole Blood.Healthy Adult","6h","","GSE103500","MicroArray","GPL10558","ADAP2","2.945","5.180","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","MT1X","3.310","5.154","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","MT1F","3.302","5.141","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","ASTN2","0.821","5.087","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","MEF2C","-0.799","-4.948","True"
"Whole Blood.Healthy Adult","6h","","GSE103500","MicroArray","GPL10558","ETV5","2.813","4.947","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","FOS","3.161","4.923","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","TSC22D3","-0.791","-4.897","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","HILPDA","3.136","4.883","True"
"Whole Blood.Healthy Pediatric","6h","","GSE103500","MicroArray","GPL10558","PEA15","1.958","4.871","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","S100A12","3.118","4.855","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","CEP85L","-0.781","-4.841","True"
"Whole Blood.Healthy Adult","6h","","GSE103500","MicroArray","GPL10558","STAB1","2.750","4.837","True"
"Whole Blood.Healthy Adult","6h","","GSE103500","MicroArray","GPL10558","MERTK","2.749","4.836","True"
"Whole Blood.Siu","6h","","GSE103500","MicroArray","GPL10558","HUNK","-3.243","-4.821","True"
"Whole Blood.Siu","6h","","GSE103500","MicroArray","GPL10558","TAS2R13","-3.213","-4.777","True"
"Whole Blood.Healthy Adult","6h","","GSE103500","MicroArray","GPL10558","CD163","2.704","4.756","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","POU2F2","3.048","4.746","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","CAMK2N1","-0.765","-4.737","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","SP140L","-0.754","-4.673","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","TRUB1","-0.752","-4.659","True"
"Whole Blood.Healthy Adult","6h","","GSE103500","MicroArray","GPL10558","CLEC5A","2.642","4.648","True"
"Fibroblast","","","GSE92466","MicroArray","GPL10558","AACSP1","0.747","4.624","True"
"Whole Blood.Healthy Adult","6h","","GSE103500","MicroArray","GPL10558","PID1","2.625","4.617","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","C2CD5","2.963","4.615","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","CST7","-2.950","-4.594","True"
"Whole Blood.Healthy Pediatric","6h","","GSE103500","MicroArray","GPL10558","TLE2","-1.846","-4.591","True"
"Whole Blood.Siu","6h","","GSE103500","MicroArray","GPL10558","PPDPFL","-3.085","-4.586","True"
"Whole Blood.Sau","6h","","GSE103500","MicroArray","GPL10558","NQO2","-2.940","-4.579","True"
