"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","CXCL2","6.277","19.027","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","IL4I1","4.610","17.552","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","LTB","4.354","16.581","True"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","TNFAIP3","5.407","16.390","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","CCL20","3.084","16.351","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","CCL20","4.246","16.168","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","UBD","4.154","15.816","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","PABPC3","-3.887","-14.802","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","CXCL1","3.728","14.196","True"
"Hct116","2h","100ng/mL","GSE104602","RNASeq","","CXCL1","6.317","14.132","False"
"Hct116","2h","100ng/mL","GSE104602","RNASeq","","CXCL8","6.169","13.802","False"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","IRF1","4.477","13.570","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","BIRC3","3.357","12.781","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","CX3CL1","2.409","12.775","True"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","CXCL3","4.091","12.402","True"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","CXCL8","3.952","11.979","True"
"T Cell Leukemia / Lymphoma Line","12w","1000ng/mL","GSE38745","MicroArray","GPL6104","CHI3L2","2.388","11.959","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","NACA4P","-3.114","-11.858","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","TRAF1","2.234","11.843","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","PTX3","2.229","11.820","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","IRF1","2.206","11.695","True"
"Hct116","2h","100ng/mL","GSE104602","RNASeq","","CXCL2","5.144","11.509","False"
"Ht29","","","GSE67033","MicroArray","GPL16699","RELB","3.019","11.495","True"
"T Cell Leukemia / Lymphoma Line","12w","1000ng/mL","GSE38745","MicroArray","GPL6104","GIMAP4","-2.289","-11.462","True"
"T Cell Leukemia / Lymphoma Line","12w","1000ng/mL","GSE38745","MicroArray","GPL6104","GZMA","2.288","11.459","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","PI3","3.000","11.423","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","TNF","2.992","11.393","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","CXCL2","2.930","11.159","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","IL17C","2.918","11.112","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","CXCL8","2.094","11.103","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","TNFAIP3","2.068","10.963","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","CD83","2.027","10.746","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","ICAM1","1.980","10.496","True"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","FOS","5.250","10.386","False"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","CXCL2","5.135","10.160","False"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","EGR1","5.117","10.124","False"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","GBP4","1.842","9.769","True"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","CXCL8","4.916","9.727","False"
"Ht29","","","GSE67033","MicroArray","GPL16699","ICAM4","2.554","9.725","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","IL32","2.530","9.634","True"
"Hct116","2h","100ng/mL","GSE104602","RNASeq","","CXCL3","4.302","9.624","False"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","PCDH18","-1.815","-9.622","True"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","FOSB","4.828","9.552","False"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","NFKBIA","1.801","9.550","True"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","ATF3","3.126","9.477","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","NFKB2","2.431","9.255","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","TNFAIP3","2.429","9.248","True"
"Hct116","2h","100ng/mL","GSE104602","RNASeq","","JUN","4.092","9.155","False"
"Hct116","2h","100ng/mL","GSE104602","RNASeq","","NFKBIZ","4.027","9.010","False"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","HBEGF","1.693","8.977","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","TNFAIP2","2.349","8.944","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","ICAM1","2.338","8.902","True"
"T Cell Leukemia / Lymphoma Line","12w","1000ng/mL","GSE38745","MicroArray","GPL6104","MARCKS","1.775","8.889","True"
"T Cell Leukemia / Lymphoma Line","12w","1000ng/mL","GSE38745","MicroArray","GPL6104","FBLN2","-1.774","-8.887","True"
"Sarcoma","","","GSE36572","MicroArray","HG-U133_Plus_2","DDX6","0.999","8.870","False"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","HIVEP2","1.671","8.861","True"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","BIRC3","2.921","8.854","True"
"Ht29","","","GSE67033","MicroArray","GPL16699","ANXA2P3","-2.321","-8.838","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","BIRC3","1.652","8.759","True"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","CXCL1","4.413","8.732","False"
"T Cell Leukemia / Lymphoma Line","12w","1000ng/mL","GSE38745","MicroArray","GPL6104","FGD3","1.739","8.708","True"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","RGS2","4.392","8.689","False"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","GEM","2.856","8.657","True"
"T Cell Leukemia / Lymphoma Line","12w","1000ng/mL","GSE38745","MicroArray","GPL6104","IL32","-1.725","-8.639","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","TNFAIP2","1.629","8.639","True"
"Vascular Smooth Muscle Cell.Trail","","","GSE29955","MicroArray","HG-U133A_2","N4BP2L2","1.361","8.631","True"
"Panc1","5h","","GSE87287","MicroArray","HuGene-1_0-st-v1","ELOVL7","1.620","8.587","True"
"Breast Epithelium.S12D","8h","1ug/mL","GSE138900","MicroArray","HG-U133A","PLAU","2.820","8.548","True"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","BTG2","4.313","8.533","False"
"Mda-Mb231","","","GSE82047","MicroArray","HuGene-1_0-st-v1","H2AC14","4.312","8.532","False"
"Ht29","","","GSE67033","MicroArray","GPL16699","CXCL3","2.238","8.520","True"
"Hct116","2h","100ng/mL","GSE104602","RNASeq","","NFKBIA","3.774","8.444","False"
