"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Endothelial","30m","50ng/mL","GSE93590","RNASeq","","FOS","5.826","34.471","True"
"Endothelial","30m","50ng/mL","GSE93590","RNASeq","","EGR1","5.626","33.290","True"
"Huvec","20m","50ng/mL","GSE100404","MicroArray","GPL10558","EGR1","4.449","33.031","True"
"Endothelial","30m","50ng/mL","GSE93590","RNASeq","","EGR3","5.365","31.748","True"
"Endothelial","30m","50ng/mL","GSE93590","RNASeq","","ZFP36","5.263","31.143","True"
"Huvec","45m","50ng/mL","GSE100404","MicroArray","GPL10558","EGR2","4.878","29.264","True"
"Huvec","45m","50ng/mL","GSE100404","MicroArray","GPL10558","EGR1","4.660","27.956","True"
"Huvec","20m","50ng/mL","GSE100404","MicroArray","GPL10558","EGR2","3.676","27.293","True"
"Huvec","30m","","GSE19335","MicroArray","GPL6947","ZFP36","4.427","26.720","True"
"Endothelial","30m","50ng/mL","GSE93590","RNASeq","","EGR2","4.475","26.478","True"
"Huvec","1h","","GSE18913","MicroArray","HG-U133_Plus_2","NR4A2","6.612","25.955","True"
"Huvec","1h","","GSE112172","MicroArray","GPL16699","ID1","4.330","25.634","True"
"Huvec","20m","50ng/mL","GSE100404","MicroArray","GPL10558","PTGS2","3.452","25.631","True"
"Endothelial","30m","50ng/mL","GSE93590","RNASeq","","NR4A1","4.303","25.462","True"
"Huvec","20m","50ng/mL","GSE100404","MicroArray","GPL10558","FOS","3.401","25.250","True"
"Huvec","1h","","GSE18913","MicroArray","HG-U133_Plus_2","EGR3","6.406","25.146","True"
"Huvec","1h","","GSE112172","MicroArray","GPL16699","EGR2","4.243","25.115","True"
"Endothelial","30m","50ng/mL","GSE93590","RNASeq","","PTGS2","4.155","24.588","True"
"Huvec","45m","50ng/mL","GSE100404","MicroArray","GPL10558","PTGS2","4.070","24.416","True"
"Huvec","30m","","GSE19335","MicroArray","GPL6947","PTGS2","4.024","24.289","True"
"Huvec","30m","","GSE19335","MicroArray","GPL6947","EGR1","3.710","22.392","True"
"Huvec","30m","","GSE19335","MicroArray","GPL6947","RCAN1","3.691","22.277","True"
"Huvec","30m","","GSE19335","MicroArray","GPL6947","EGR2","3.683","22.226","True"
