,cytokine,stimulus,stimulus_concentration,sensor,pvalue,qvalue,foldchange,log2fc,pairs
0,IFN beta,ConA,12500,Activin A,3.365014436721508e-13,12.473013068208195,0.32349111853424783,-1.6282019913944297,IFN beta | Activin A
0,IFN beta,ConA,12500,CCL22,1.8286723035874326e-07,6.73786411272723,0.16320285388482564,-2.615261809333554,IFN beta | CCL22
0,IFN beta,ConA,12500,CCL24,1.3551346408240876e-09,8.868017552861913,0.5691130765783317,-0.8132127660617453,IFN beta | CCL24
0,IFN beta,ConA,12500,CXCL1,3.842744246936358e-32,31.415358518954953,0.26300904715698287,-1.9268156677499362,IFN beta | CXCL1
0,IFN beta,ConA,12500,CXCL10,2.957617206004989e-44,43.52905803590963,2.675194772078973,1.419643933189661,IFN beta | CXCL10
0,IFN beta,ConA,12500,CXCL5,1.1817743581933649e-31,30.92746543745327,0.08404083104570297,-3.5727657614669255,IFN beta | CXCL5
0,IFN beta,ConA,12500,G-CSF,5.468264490408616e-12,11.262150487530151,0.2169599972461871,-2.2044990296121947,IFN beta | G-CSF
0,IFN beta,ConA,12500,GM-CSF,0.0003259388373629414,3.4868638879316363,0.29201304970748687,-1.7758952520574196,IFN beta | GM-CSF
0,IFN beta,ConA,12500,IL-1 alpha,4.868125696991747e-14,13.31263821663648,0.23827131803094376,-2.0693227976812274,IFN beta | IL-1 alpha
0,IFN beta,ConA,12500,IL-1 beta,2.2678969248282905e-12,11.644376687872409,0.19900959945550395,-2.3290900723956636,IFN beta | IL-1 beta
0,IFN beta,ConA,12500,IL-1 RA RN,8.811446047051307e-07,6.0549528136400825,2.075773875001371,1.0536492918738074,IFN beta | IL-1 RA RN
0,IFN beta,ConA,12500,IL-10,1.072153882936843e-12,11.969742877223368,3.368131598804913,1.7519485081294175,IFN beta | IL-10
0,IFN beta,ConA,12500,IL-2,0.011405890092571144,1.942870817602732,0.5830981331468724,-0.7781893910665492,IFN beta | IL-2
0,IFN beta,ConA,12500,MMP-1,2.8860778727507007e-11,10.539691954860801,0.039633725160933664,-4.6571276176584675,IFN beta | MMP-1
