sample,n_co (pmols),replicate,mp_background,coupling,coupling_hybrid,release,release (%)
1,0,1,166.3200073,114.3800049,246.0500031,228.7600098,0.216856819
2,0.4,1,166.3200073,178.2200012,7409.430176,255.3600159,0.987706937
3,2,1,166.3200073,10909.99023,49231.28125,836.5700073,0.986339539
4,10,1,166.3200073,136.9900055,57958.74219,1000.160034,0.98557181
5,50,1,166.3200073,121.0300064,48566.28125,968.2400513,0.983431391
6,0,2,166.3200073,119.7000046,223.4400024,224.7700043,-0.023284348
7,0.4,2,166.3200073,129.0100098,4955.580078,279.3000183,0.976409715
8,2,2,166.3200073,395.0100098,44973.95313,860.5100098,0.984507327
9,10,2,166.3200073,1256.850098,56341.46094,994.8400269,0.985251127
10,50,2,166.3200073,155.6100006,47393.22266,911.0500488,0.984230809
