,plate_name,position,sample,pool,concentration,concentration_unit,antigen_in_sample,variable,value
0,CALI1,A03,AgPool2,2,225000.0,ng/mL,IL-23,IL-12 p40,79.04185480297254
1,CALI1,A04,AgPool2,2,147.45600000000002,ng/mL,IL-23,IL-12 p40,55.90883707221295
2,CALI1,A07,AgPool4,4,225000.0,ng/mL,IL-12 p40,IL-12 p40,81.32663714881527
3,CALI1,A08,AgPool4,4,147.45600000000002,ng/mL,IL-12 p40,IL-12 p40,61.97436319140266
4,CALI1,A09,AgPool5,5,225000.0,ng/mL,IL-12 p70,IL-12 p40,80.78811845811646
5,CALI1,A10,AgPool5,5,147.45600000000002,ng/mL,IL-12 p70,IL-12 p40,43.25100613313193
6,CALI1,B03,AgPool2,2,90000.0,ng/mL,IL-23,IL-12 p40,81.62672439321045
7,CALI1,B04,AgPool2,2,58.9824,ng/mL,IL-23,IL-12 p40,36.56748598104613
8,CALI1,B07,AgPool4,4,90000.0,ng/mL,IL-12 p40,IL-12 p40,83.9204575370271
9,CALI1,B08,AgPool4,4,58.9824,ng/mL,IL-12 p40,IL-12 p40,42.045659099440336
10,CALI1,B09,AgPool5,5,90000.0,ng/mL,IL-12 p70,IL-12 p40,81.16943233013866
11,CALI1,B10,AgPool5,5,58.9824,ng/mL,IL-12 p70,IL-12 p40,24.444246901206945
12,CALI1,C03,AgPool2,2,36000.0,ng/mL,IL-23,IL-12 p40,82.67624898315269
13,CALI1,C04,AgPool2,2,23.592959999999998,ng/mL,IL-23,IL-12 p40,19.669015139099955
14,CALI1,C07,AgPool4,4,36000.0,ng/mL,IL-12 p40,IL-12 p40,84.68201419628211
15,CALI1,C08,AgPool4,4,23.592959999999998,ng/mL,IL-12 p40,IL-12 p40,22.9370543213685
16,CALI1,C09,AgPool5,5,36000.0,ng/mL,IL-12 p70,IL-12 p40,81.307374479527
17,CALI1,C10,AgPool5,5,23.592959999999998,ng/mL,IL-12 p70,IL-12 p40,11.488294393989662
18,CALI1,D03,AgPool2,2,14400.0,ng/mL,IL-23,IL-12 p40,82.828864995642
19,CALI1,D04,AgPool2,2,9.437184,ng/mL,IL-23,IL-12 p40,7.972241993701523
20,CALI1,D07,AgPool4,4,14400.0,ng/mL,IL-12 p40,IL-12 p40,84.7225552569311
21,CALI1,D08,AgPool4,4,9.437184,ng/mL,IL-12 p40,IL-12 p40,10.852305832525921
