,Unnamed: 0,sample,media,dilution,sensor,value,legend,ptm_target,phos_total,clamp,cell_sample
2642,2642,BioRad_TNFa,M1,2,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],11.7449654107058,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"HeLa + (TNF$\alpha$
stimulation)"
2643,2643,BioRad_TNFa,M2,2,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],11.030419567635,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"HeLa + (TNF$\alpha$
stimulation)"
2644,2644,CST,M1,2,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],6.59522510500078,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"Jurkat (phosphatase
inhibitor)"
2645,2645,CST,M2,2,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],7.06946608795713,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"Jurkat (phosphatase
inhibitor)"
2646,2646,IKBa,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],4.37044830627533,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"HEK293 (IkB-$\alpha$
over expression)"
2647,2647,IKBa,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],3.54635814067312,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"HEK293 (IkB-$\alpha$
over expression)"
2652,2652,IKKb,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],-0.353338538336255,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"HEK293 (IKK-$\beta$
over expression)"
2653,2653,IKKb,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],-0.546986232773342,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"HEK293 (IKK-$\beta$
over expression)"
2654,2654,IKKg,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],1.66656054394901,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"HEK293 (IKK-$\gamma$
over expression)"
2655,2655,IKKg,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.T.4.2],0.92210968765147,IkB-alpha/ NFKBIA (total),IkB-alpha/ NFKBIA,total,CL-9.T.4.2,"HEK293 (IKK-$\gamma$
over expression)"
