,sample,row,column,WellID,donor,stimulus,LPS (ng/mL),ConA (ug/mL),PolyIC (ug/mL),PMA (ng/mL),ionomicyn (ng/mL),nELISA ID,nELISA SNR,UniProt,SampleID,SampleType,PlateID,DataAnalysisRefID,OlinkID,Assay,AssayType,Panel,Block,Count,ExtNPX,NPX,Normalization,PCNormalizedNPX,AssayQC,SampleQC,ExploreVersion,IntraCV,InterCV,SampleBlockQCWarn,SampleBlockQCFail,BlockQCFail,AssayQCWarn,NCLOD
968,1,A,1,A1,D1,unstimulated,0.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.62995,Q15389,A1,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,10518.0,-2.488978862762451,-0.47545310854911804,Plate control,-0.47545310854911804,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
969,2,A,2,A2,D1,ConA,0.0,0.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.2239,Q15389,A2,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,6805.0,-2.4187560081481934,-0.40523022413253784,Plate control,-0.40523022413253784,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
970,3,A,3,A3,D1,ConA,0.0,2.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.73987,Q15389,A3,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,5146.0,-2.5164992809295654,-0.5029734969139099,Plate control,-0.5029734969139099,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
971,4,A,4,A4,D1,ConA,0.0,12.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.61791,Q15389,A4,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4170.0,-2.580284357070923,-0.5667585134506226,Plate control,-0.5667585134506226,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
972,5,A,5,A5,D1,ConA,0.0,25.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,12.22845,Q15389,A5,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4002.0,-2.5268497467041016,-0.5133238434791565,Plate control,-0.5133238434791565,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
973,6,A,6,A6,D1,ConA,0.0,12.5,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,13.54454,Q15389,A6,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4529.0,-2.5245726108551025,-0.511046826839447,Plate control,-0.511046826839447,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
974,7,A,7,A7,D1,LPS,0.1,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.67187,Q15389,A7,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4638.0,-2.438467264175415,-0.4249414801597595,Plate control,-0.4249414801597595,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
975,8,A,8,A8,D1,LPS,5.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.62258,Q15389,A8,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4831.0,-2.3112573623657227,-0.29773157835006714,Plate control,-0.29773157835006714,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
976,9,A,9,A9,D1,LPS,100.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,15.54521,Q15389,A9,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,5248.0,-2.309004783630371,-0.29547905921936035,Plate control,-0.29547905921936035,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
977,10,A,10,A10,D1,LPS,2000.0,0.0,0.0,0.0,0.0,EXP - 310.1 - Angiopoietin-1 nEL xDR,14.24775,Q15389,A10,SAMPLE,Nomic_07022025,E50008,OID20740,ANGPT1,assay,Inflammation,D,4346.0,-2.4360666275024414,-0.4225408136844635,Plate control,-0.4225408136844635,PASS,PASS,7.2.1,4.7295708656311035,,1.0,1.0,1.0,1.0,0.2
